zone_code,height_code,item_category_code,price,discount_percent,daily_customer_traffic,nearby_promotion,city_code,movement
4,1,6,1474.0,25.0,233.0,1,1,Fast
2,2,5,344.0,20.0,357.0,0,1,Slow
1,1,1,511.0,25.0,293.0,0,2,Fast
2,1,8,1101.0,25.0,345.0,1,1,Fast
4,3,2,676.0,25.0,249.0,0,1,Ignored
2,3,7,2737.0,20.0,368.0,1,2,Slow
4,1,8,2196.0,15.0,263.0,0,1,Slow
1,3,8,2693.0,20.0,404.0,1,1,Fast
3,2,6,3406.0,25.0,326.0,1,1,Slow
1,3,1,1056.0,0.0,380.0,0,2,Slow
1,3,7,561.0,0.0,353.0,0,1,Slow
1,3,2,755.0,5.0,372.0,0,2,Slow
6,3,8,824.0,15.0,69.0,0,1,Ignored
3,3,7,1035.0,25.0,310.0,1,1,Fast
4,3,1,1628.0,30.0,229.0,0,1,Slow
6,1,1,1230.0,15.0,134.0,0,2,Ignored
4,2,7,917.0,25.0,206.0,0,2,Slow
5,2,2,201.0,20.0,180.0,0,1,Ignored
3,1,2,1019.0,25.0,318.0,0,2,Fast
6,1,4,380.0,25.0,91.0,1,2,Slow
3,3,5,727.0,25.0,269.0,1,1,Slow
3,3,4,1898.0,30.0,319.0,0,2,Slow
5,2,7,2294.0,5.0,143.0,0,2,Ignored
1,3,8,1869.0,15.0,368.0,0,2,Slow
1,1,1,1114.0,25.0,335.0,1,1,Fast
5,1,3,715.0,15.0,159.0,1,1,Slow
4,2,3,1723.0,30.0,187.0,0,2,Slow
6,1,6,1486.0,10.0,88.0,0,1,Ignored
1,1,2,1207.0,30.0,367.0,1,1,Fast
1,3,7,2548.0,30.0,345.0,0,2,Fast
4,2,2,1111.0,25.0,218.0,0,1,Slow
5,2,7,1068.0,0.0,166.0,1,1,Ignored
1,3,4,864.0,30.0,377.0,1,1,Fast
6,1,7,403.0,30.0,61.0,0,1,Slow
3,1,2,1358.0,15.0,298.0,1,1,Fast
5,3,1,1042.0,10.0,142.0,1,1,Ignored
5,1,1,442.0,20.0,159.0,0,2,Slow
2,1,7,3183.0,5.0,363.0,1,1,Fast
2,3,6,1849.0,15.0,357.0,0,1,Slow
1,2,4,1438.0,20.0,310.0,0,1,Fast
5,2,3,923.0,15.0,188.0,1,2,Ignored
6,3,8,1759.0,5.0,88.0,1,2,Ignored
5,2,8,1711.0,30.0,116.0,1,2,Ignored
6,1,4,1251.0,5.0,129.0,1,1,Ignored
6,2,3,1189.0,10.0,61.0,1,1,Ignored
2,1,7,1010.0,10.0,302.0,1,1,Fast
5,2,8,1007.0,20.0,119.0,1,1,Slow
4,2,5,263.0,10.0,217.0,0,1,Slow
2,1,3,1647.0,5.0,318.0,1,1,Fast
2,3,2,2361.0,10.0,326.0,0,2,Ignored
5,1,2,1461.0,30.0,176.0,0,2,Slow
3,3,8,4043.0,15.0,304.0,1,1,Slow
1,3,4,1611.0,20.0,341.0,0,1,Slow
6,2,5,1311.0,5.0,99.0,1,2,Ignored
4,3,6,712.0,15.0,244.0,0,2,Slow
4,3,4,1551.0,25.0,259.0,0,1,Ignored
6,1,7,1253.0,25.0,81.0,1,1,Slow
2,3,2,1227.0,5.0,317.0,0,1,Slow
2,1,7,1851.0,20.0,323.0,0,2,Fast
5,3,3,681.0,20.0,164.0,0,1,Ignored
5,1,8,987.0,15.0,151.0,1,1,Slow
6,2,7,1711.0,10.0,53.0,0,1,Ignored
3,3,7,1908.0,15.0,329.0,0,1,Ignored
2,2,4,612.0,0.0,427.0,0,2,Slow
6,1,1,342.0,0.0,107.0,0,1,Ignored
6,3,5,526.0,30.0,33.0,0,2,Ignored
1,3,2,3284.0,15.0,355.0,0,2,Slow
1,1,3,765.0,25.0,308.0,1,2,Fast
6,1,3,1174.0,,74.0,1,2,Slow
2,3,1,961.0,30.0,348.0,0,1,Fast
4,1,1,1466.0,30.0,235.0,0,1,Slow
5,3,5,1626.0,10.0,151.0,0,2,Ignored
2,3,3,1100.0,25.0,349.0,1,1,Slow
6,2,1,547.0,10.0,,0,2,Ignored
3,3,8,679.0,0.0,314.0,0,2,Ignored
1,2,4,327.0,25.0,349.0,0,1,Fast
5,2,6,1188.0,10.0,130.0,0,2,Ignored
3,2,7,928.0,25.0,324.0,0,2,Fast
1,3,7,651.0,0.0,336.0,1,2,Slow
5,1,5,1035.0,0.0,143.0,1,1,Slow
5,2,5,1330.0,20.0,178.0,0,2,Ignored
4,2,5,791.0,0.0,203.0,0,1,Ignored
6,3,3,927.0,0.0,104.0,0,2,Ignored
4,3,7,2736.0,5.0,279.0,0,1,Ignored
4,3,5,678.0,5.0,188.0,0,1,Ignored
3,1,7,1459.0,5.0,310.0,0,2,Fast
3,1,1,1447.0,0.0,318.0,1,1,Fast
6,1,4,1569.0,25.0,47.0,0,2,Ignored
5,1,4,600.0,25.0,128.0,0,1,Ignored
6,1,1,3258.0,20.0,121.0,1,1,Slow
4,3,4,982.0,15.0,232.0,1,2,Slow
6,2,1,2008.0,30.0,93.0,1,1,Ignored
2,2,4,3598.0,5.0,293.0,1,2,Slow
4,3,5,375.0,20.0,190.0,0,2,Ignored
6,1,5,1325.0,0.0,61.0,0,1,Ignored
2,3,6,1581.0,10.0,323.0,1,2,Fast
5,2,1,1037.0,0.0,147.0,0,1,Ignored
5,3,4,609.0,25.0,108.0,0,1,Ignored
3,3,1,514.0,30.0,324.0,0,2,Slow
5,3,1,769.0,20.0,132.0,0,1,Ignored
2,3,8,266.0,20.0,364.0,1,2,Fast
3,3,3,761.0,25.0,288.0,1,1,Slow
6,1,6,1194.0,25.0,89.0,0,1,Ignored
4,2,6,2609.0,20.0,242.0,0,2,Ignored
6,3,1,1455.0,25.0,86.0,0,1,Ignored
5,1,4,2167.0,25.0,111.0,0,1,Slow
3,1,3,2151.0,25.0,353.0,1,2,Fast
3,1,4,588.0,25.0,313.0,0,1,Fast
5,1,5,1087.0,0.0,111.0,0,1,Ignored
2,3,1,3157.0,15.0,273.0,0,2,Slow
2,1,2,383.0,15.0,263.0,1,1,Fast
5,2,5,1683.0,15.0,95.0,1,2,Ignored
4,1,7,936.0,15.0,231.0,1,1,Fast
6,2,5,2714.0,10.0,79.0,1,1,Ignored
1,3,7,168.0,25.0,401.0,1,2,Fast
6,1,8,,20.0,20.0,0,1,Ignored
2,3,1,2170.0,0.0,333.0,0,1,Ignored
5,1,4,2194.0,20.0,110.0,0,1,Slow
2,2,3,500.0,30.0,373.0,1,1,Fast
5,3,8,563.0,20.0,183.0,0,1,Ignored
6,1,4,1041.0,10.0,122.0,1,2,Ignored
5,3,2,3198.0,10.0,141.0,1,2,Ignored
2,3,6,819.0,20.0,331.0,0,2,Fast
1,3,1,5004.0,15.0,392.0,0,2,Slow
1,3,1,1621.0,30.0,346.0,0,1,Slow
6,3,2,339.0,20.0,151.0,1,1,Ignored
2,2,5,732.0,5.0,340.0,1,1,Fast
2,3,2,880.0,25.0,347.0,1,1,Fast
2,3,3,1161.0,15.0,308.0,0,1,Slow
5,3,1,2971.0,15.0,116.0,0,2,Ignored
4,3,8,3203.0,5.0,257.0,1,1,Ignored
5,3,6,722.0,15.0,153.0,0,1,Ignored
3,3,8,1021.0,10.0,342.0,1,2,Slow
3,3,7,734.0,5.0,305.0,0,1,Ignored
5,3,7,1186.0,5.0,117.0,0,2,Ignored
3,3,5,4337.0,30.0,326.0,1,1,Slow
1,2,4,1414.0,25.0,366.0,0,2,Slow
4,1,3,2191.0,15.0,187.0,1,1,Fast
4,1,3,1187.0,20.0,240.0,1,1,Fast
3,3,2,465.0,20.0,311.0,1,1,Slow
2,1,2,2300.0,15.0,343.0,0,1,Fast
5,2,3,1770.0,15.0,127.0,0,1,Ignored
4,1,8,663.0,0.0,208.0,1,1,Slow
2,1,6,1778.0,20.0,363.0,0,2,Fast
3,2,5,278.0,0.0,306.0,0,1,Slow
1,3,6,198.0,0.0,363.0,1,1,Fast
5,3,1,1129.0,10.0,134.0,1,1,Ignored
6,3,3,1888.0,25.0,125.0,0,1,Ignored
1,3,8,2079.0,15.0,355.0,0,1,Slow
5,3,3,1582.0,15.0,90.0,0,1,Ignored
4,2,6,1565.0,5.0,255.0,0,1,Ignored
3,3,1,1568.0,20.0,340.0,1,1,Slow
3,1,1,2720.0,10.0,277.0,0,1,Slow
2,2,6,894.0,10.0,327.0,1,1,Fast
3,2,5,3176.0,5.0,283.0,1,2,Ignored
5,1,6,849.0,25.0,114.0,0,1,Ignored
6,3,8,1721.0,10.0,115.0,1,1,Ignored
4,3,7,1747.0,30.0,210.0,0,1,Slow
6,2,5,1262.0,20.0,65.0,0,1,Ignored
1,2,5,951.0,20.0,419.0,1,1,Fast
5,3,8,695.0,5.0,178.0,1,1,Ignored
2,1,5,2065.0,5.0,315.0,0,1,Fast
1,3,4,2742.0,0.0,397.0,1,1,Slow
6,2,8,334.0,20.0,107.0,1,1,Ignored
2,3,1,1561.0,20.0,351.0,0,1,Slow
2,2,4,744.0,10.0,289.0,0,1,Slow
1,2,8,1515.0,10.0,371.0,0,1,Slow
3,1,1,732.0,15.0,288.0,0,1,Fast
1,3,4,2894.0,20.0,373.0,1,1,Fast
4,1,4,2285.0,15.0,260.0,1,1,Fast
2,3,8,4746.0,30.0,366.0,0,1,Slow
3,2,4,758.0,0.0,335.0,0,2,Slow
6,2,2,524.0,25.0,76.0,1,2,Ignored
2,3,4,943.0,5.0,328.0,1,1,Slow
4,2,8,411.0,0.0,267.0,0,2,Slow
6,3,8,1969.0,25.0,112.0,1,1,Ignored
1,2,8,3403.0,0.0,352.0,0,1,Ignored
2,2,6,1772.0,0.0,297.0,0,1,Slow
4,2,7,2387.0,25.0,257.0,0,1,Slow
1,3,7,1634.0,20.0,306.0,0,2,Slow
1,3,4,2394.0,20.0,431.0,1,1,Slow
4,3,6,1168.0,25.0,288.0,1,1,Slow
4,3,7,1155.0,30.0,233.0,0,1,Slow
4,2,4,818.0,15.0,226.0,0,1,Slow
4,1,4,457.0,30.0,220.0,0,1,Fast
6,3,3,1551.0,20.0,110.0,0,1,Ignored
1,2,1,4291.0,25.0,368.0,1,1,Fast
2,2,2,726.0,10.0,316.0,1,1,Fast
5,1,5,1902.0,30.0,176.0,1,2,Fast
1,1,7,408.0,10.0,329.0,0,1,Fast
1,2,7,340.0,0.0,314.0,0,1,Slow
4,1,6,1565.0,0.0,254.0,0,1,Slow
5,3,2,1625.0,5.0,145.0,1,1,Ignored
5,3,2,1803.0,30.0,125.0,0,1,Ignored
3,3,3,873.0,30.0,325.0,1,2,Fast
1,1,4,3872.0,25.0,407.0,0,1,Fast
5,3,7,1216.0,15.0,91.0,0,1,Ignored
2,3,4,936.0,5.0,388.0,0,1,Slow
3,2,8,2758.0,10.0,315.0,0,2,Slow
1,2,2,1160.0,5.0,373.0,1,2,Fast
5,1,7,845.0,30.0,124.0,0,1,Slow
6,3,4,6158.0,15.0,96.0,0,1,Ignored
5,3,7,1202.0,5.0,130.0,1,1,Ignored
5,1,5,1212.0,10.0,130.0,0,2,Ignored
4,2,5,2062.0,25.0,246.0,0,1,Slow
2,3,2,1016.0,25.0,354.0,0,1,Slow
3,1,4,1136.0,20.0,375.0,0,1,Fast
6,1,2,524.0,5.0,111.0,1,2,Slow
1,3,6,623.0,25.0,383.0,0,1,Fast
5,2,7,1721.0,30.0,160.0,0,1,Ignored
6,2,7,1516.0,15.0,63.0,0,2,Ignored
5,3,1,786.0,25.0,171.0,1,2,Ignored
4,2,1,1285.0,0.0,278.0,1,1,Ignored
3,3,2,605.0,10.0,307.0,0,2,Slow
5,1,6,,15.0,149.0,0,2,Slow
1,2,7,2470.0,20.0,350.0,0,1,Slow
1,1,3,2244.0,30.0,306.0,0,2,Fast
3,3,5,3536.0,30.0,333.0,1,1,Slow
5,1,3,1691.0,5.0,117.0,0,1,Ignored
3,1,4,2353.0,5.0,293.0,0,1,Slow
5,1,1,1432.0,0.0,119.0,0,1,Ignored
1,1,7,339.0,5.0,376.0,0,1,Fast
6,1,4,1303.0,25.0,97.0,1,1,Slow
3,2,2,1275.0,10.0,291.0,1,1,Fast
3,2,7,832.0,15.0,251.0,1,2,Fast
1,1,7,1083.0,,370.0,1,1,Fast
5,3,6,843.0,30.0,127.0,1,1,Ignored
6,1,7,1911.0,30.0,85.0,1,2,Slow
4,3,2,738.0,15.0,215.0,1,2,Slow
3,1,2,587.0,5.0,323.0,0,2,Fast
6,2,5,1366.0,25.0,106.0,1,2,Ignored
5,3,2,1967.0,20.0,107.0,0,1,Ignored
1,2,2,944.0,30.0,315.0,0,1,Slow
1,1,6,1390.0,0.0,353.0,1,2,Fast
2,3,5,1636.0,15.0,319.0,1,1,Slow
5,3,5,579.0,25.0,129.0,0,1,Ignored
1,1,8,1351.0,0.0,364.0,0,1,Fast
2,2,6,909.0,10.0,357.0,0,1,Slow
5,3,2,626.0,10.0,144.0,1,1,Ignored
6,1,6,2989.0,20.0,71.0,0,1,Ignored
4,3,2,470.0,5.0,249.0,0,1,Ignored
6,1,6,1871.0,25.0,60.0,0,1,Ignored
4,3,4,713.0,15.0,281.0,0,2,Slow
5,1,5,294.0,25.0,160.0,1,2,Fast
3,3,7,1678.0,30.0,287.0,1,2,Slow
4,1,8,1861.0,20.0,261.0,0,1,Fast
3,1,1,1172.0,25.0,295.0,0,2,Fast
1,1,4,438.0,5.0,409.0,0,1,Fast
2,1,8,195.0,0.0,296.0,0,1,Fast
1,1,5,852.0,25.0,387.0,0,1,Fast
1,1,2,299.0,20.0,50000.0,0,1,Fast
4,2,7,1275.0,30.0,258.0,1,1,Fast
3,1,3,664.0,5.0,303.0,0,1,Fast
4,3,3,2382.0,15.0,224.0,1,1,Slow
3,2,3,3285.0,30.0,350.0,0,2,Slow
1,2,2,1280.0,20.0,361.0,0,1,Fast
5,2,2,1056.0,30.0,102.0,0,1,Ignored
4,3,4,406.0,30.0,278.0,0,1,Slow
4,2,2,969.0,15.0,243.0,0,2,Ignored
5,3,7,340.0,30.0,98.0,0,1,Ignored
2,2,6,2004.0,25.0,310.0,0,1,Slow
4,3,6,1013.0,0.0,259.0,0,1,Ignored
2,3,2,432.0,5.0,390.0,1,2,Fast
4,3,6,1464.0,20.0,274.0,0,2,Ignored
1,3,5,2440.0,0.0,386.0,0,2,Slow
6,2,5,2619.0,5.0,73.0,0,1,Ignored
3,2,7,3939.0,0.0,346.0,0,1,Slow
6,3,5,934.0,20.0,75.0,0,1,Ignored
1,1,2,579.0,20.0,393.0,1,2,Fast
1,1,2,1092.0,15.0,377.0,1,2,Fast
5,2,4,1963.0,5.0,99.0,0,1,Ignored
6,2,4,1040.0,15.0,93.0,0,1,Ignored
1,1,1,980.0,25.0,373.0,0,2,Fast
6,3,6,1479.0,5.0,69.0,0,2,Ignored
1,1,5,1973.0,15.0,328.0,1,1,Fast
1,3,2,274.0,10.0,417.0,0,1,Fast
3,3,1,265.0,20.0,291.0,0,2,Slow
6,3,2,1638.0,5.0,87.0,0,2,Ignored
4,1,8,1975.0,0.0,173.0,1,2,Slow
2,2,3,3100.0,15.0,297.0,0,1,Slow
2,2,6,2066.0,15.0,324.0,0,1,Slow
4,2,3,2113.0,30.0,258.0,0,1,Ignored
6,3,3,1637.0,5.0,110.0,0,1,Ignored
2,3,7,1225.0,25.0,341.0,0,1,Slow
2,1,8,1463.0,30.0,295.0,1,2,Fast
2,3,8,507.0,5.0,304.0,0,2,Slow
2,2,8,1288.0,25.0,311.0,0,1,Slow
1,1,1,1555.0,10.0,323.0,0,1,Fast
6,3,7,1154.0,15.0,88.0,0,1,Ignored
2,1,7,1522.0,10.0,313.0,1,2,Fast
2,3,3,1026.0,30.0,328.0,1,2,Slow
3,3,6,2051.0,10.0,302.0,0,1,Ignored
6,1,7,1858.0,30.0,82.0,1,2,Slow
2,1,4,257.0,25.0,335.0,1,1,Fast
2,1,1,1427.0,5.0,369.0,0,2,Fast
1,1,4,1903.0,0.0,318.0,0,2,Fast
2,3,1,1252.0,0.0,362.0,0,2,Slow
6,1,2,3897.0,5.0,122.0,1,1,Ignored
4,1,2,1287.0,5.0,244.0,0,1,Slow
1,2,5,1567.0,0.0,346.0,0,1,Slow
6,3,7,529.0,15.0,105.0,1,2,Ignored
5,3,3,677.0,25.0,110.0,1,1,Ignored
5,1,6,3455.0,15.0,104.0,1,1,Ignored
3,2,6,1221.0,0.0,277.0,0,1,Ignored
4,1,7,298.0,15.0,249.0,1,2,Fast
3,3,5,1486.0,0.0,279.0,1,1,Slow
1,3,8,3384.0,30.0,352.0,0,1,Slow
1,2,2,2084.0,25.0,378.0,0,2,Fast
3,3,6,1060.0,10.0,258.0,0,2,Ignored
5,2,4,730.0,15.0,116.0,1,1,Ignored
5,1,4,1729.0,15.0,146.0,0,2,Ignored
3,1,1,1241.0,20.0,263.0,1,2,Fast
5,3,1,1864.0,0.0,141.0,0,1,Ignored
5,1,2,534.0,10.0,149.0,1,2,Ignored
4,2,6,379.0,30.0,256.0,0,2,Slow
2,3,8,781.0,10.0,335.0,1,1,Slow
1,3,1,1120.0,15.0,397.0,0,1,Fast
2,1,6,856.0,0.0,313.0,0,1,Fast
4,3,3,3812.0,25.0,207.0,0,1,Ignored
4,1,5,1722.0,15.0,286.0,0,1,Slow
6,1,5,1211.0,25.0,91.0,1,2,Slow
5,1,2,791.0,25.0,142.0,0,2,Slow
4,3,1,1699.0,0.0,248.0,0,2,Ignored
4,2,8,1280.0,20.0,262.0,0,2,Ignored
1,1,8,3619.0,20.0,402.0,1,1,Fast
3,3,4,560.0,30.0,308.0,1,2,Fast
3,2,1,651.0,25.0,326.0,1,2,Fast
2,2,3,4889.0,20.0,298.0,0,2,Slow
2,1,6,407.0,25.0,352.0,1,1,Fast
5,2,1,450.0,30.0,124.0,1,1,Ignored
2,2,5,836.0,5.0,299.0,1,1,Slow
3,1,1,1237.0,20.0,269.0,0,1,Fast
6,2,1,378.0,30.0,75.0,0,1,Ignored
3,2,2,2031.0,30.0,336.0,0,1,Slow
4,2,6,2390.0,5.0,245.0,1,1,Slow
5,2,1,371.0,20.0,125.0,1,1,Ignored
1,3,6,499.0,30.0,336.0,0,1,Slow
4,2,5,421.0,10.0,264.0,0,2,Slow
6,2,5,557.0,15.0,63.0,1,2,Ignored
6,2,3,1146.0,5.0,41.0,1,1,Ignored
3,2,8,867.0,20.0,375.0,1,1,Fast
2,3,5,726.0,30.0,365.0,0,1,Fast
5,1,3,3388.0,0.0,134.0,1,2,Ignored
1,1,5,615.0,30.0,399.0,0,2,Fast
1,1,6,1759.0,15.0,365.0,0,2,Fast
3,2,6,5171.0,5.0,338.0,1,1,Slow
2,2,5,686.0,5.0,298.0,0,2,Slow
3,3,7,669.0,10.0,288.0,1,1,Slow
3,2,1,1007.0,0.0,311.0,1,1,Fast
2,1,5,1048.0,25.0,289.0,0,2,Fast
1,2,6,4267.0,0.0,347.0,1,1,Slow
2,1,2,991.0,15.0,340.0,1,1,Fast
1,3,4,3025.0,30.0,323.0,0,1,Slow
6,2,1,1412.0,5.0,62.0,1,1,Ignored
1,1,7,1089.0,20.0,323.0,1,1,Fast
1,3,2,1296.0,10.0,398.0,1,2,Slow
