hours_studied,attendance_percent,previous_score,sleep_hours,assignments_done,result
8.7,47.0,36.0,3.3,9,Pass
3.7,57.0,87.0,6.0,5,Pass
3.1,46.0,64.0,7.7,7,Fail
2.6,42.0,58.0,6.9,7,Fail
4.3,99.0,61.0,6.5,1,Pass
2.9,67.0,36.0,4.9,9,Fail
0.7,72.0,33.0,8.1,7,Fail
2.8,55.0,73.0,7.4,5,Fail
2.0,40.0,89.0,6.8,6,Fail
7.3,85.0,76.0,4.2,10,Pass
,83.0,86.0,6.2,7,Pass
4.1,98.0,87.0,7.3,7,Pass
6.1,41.0,27.0,6.8,9,Pass
1.3,48.0,81.0,7.0,7,Fail
4.8,83.0,81.0,7.6,1,Pass
7.6,60.0,51.0,7.0,9,Pass
5.3,44.0,55.0,7.6,9,Pass
4.3,58.0,79.0,5.8,8,Pass
7.5,45.0,97.0,5.3,1,Pass
8.5,90.0,97.0,7.4,5,Pass
7.4,93.0,60.0,7.6,0,Pass
3.7,78.0,83.0,7.4,8,Pass
5.5,63.0,59.0,7.0,10,Pass
4.7,86.0,88.0,6.4,0,Pass
2.7,78.0,72.0,7.1,1,Pass
3.9,88.0,93.0,7.3,10,Pass
7.5,71.0,98.0,7.3,8,Pass
2.7,98.0,49.0,9.9,9,Pass
8.0,57.0,96.0,5.7,2,Pass
8.9,76.0,76.0,10.7,7,Pass
2.8,88.0,42.0,5.3,9,Pass
1.1,94.0,25.0,7.3,0,Fail
8.6,97.0,75.0,5.4,3,Pass
1.5,64.0,41.0,7.2,3,Fail
6.9,82.0,42.0,8.0,5,Pass
0.4,57.0,65.0,6.8,2,Fail
2.1,79.0,27.0,8.0,3,Fail
2.3,51.0,55.0,6.3,2,Fail
2.7,65.0,83.0,4.3,0,Fail
8.3,95.0,27.0,7.6,7,Pass
1.6,89.0,71.0,6.8,7,Pass
1.6,70.0,37.0,6.2,9,Fail
6.2,49.0,88.0,6.3,6,Pass
8.6,64.0,54.0,7.3,7,Pass
3.5,48.0,84.0,5.8,3,Pass
7.0,44.0,78.0,7.3,4,Pass
0.3,94.0,89.0,8.2,4,Pass
7.4,69.0,63.0,9.3,10,Pass
6.5,45.0,60.0,8.5,5,Pass
8.1,83.0,28.0,7.0,9,Pass
5.7,44.0,64.0,7.1,3,Fail
8.5,64.0,63.0,6.3,7,Pass
3.5,54.0,69.0,6.2,3,Pass
6.6,50.0,35.0,7.8,4,Fail
6.5,72.0,64.0,6.4,9,Pass
2.4,83.0,58.0,7.2,7,Pass
8.3,69.0,69.0,5.6,5,Pass
7.0,89.0,73.0,8.4,4,Pass
7.8,95.0,51.0,6.4,8,Pass
3.3,88.0,62.0,8.1,1,Pass
7.6,97.0,54.0,6.0,9,Pass
2.8,96.0,81.0,5.9,6,Pass
8.7,90.0,83.0,8.4,3,Pass
0.2,58.0,46.0,6.0,7,Fail
5.6,50.0,44.0,4.9,10,Fail
1.0,84.0,75.0,5.6,3,Pass
6.5,91.0,82.0,7.8,4,Pass
3.3,89.0,26.0,7.7,10,Pass
7.8,79.0,56.0,5.9,3,Pass
7.9,90.0,47.0,6.0,9,Pass
3.3,82.0,81.0,7.6,9,Pass
7.3,80.0,35.0,8.4,6,Pass
6.1,43.0,82.0,6.7,0,Pass
3.8,68.0,73.0,7.5,0,Pass
3.1,42.0,87.0,7.8,3,Fail
1.9,46.0,97.0,9.4,0,Fail
0.6,72.0,60.0,5.4,8,Fail
4.7,43.0,76.0,6.0,7,Fail
4.9,95.0,77.0,6.2,5,Pass
4.0,67.0,87.0,7.8,8,Pass
8.6,82.0,63.0,6.5,1,Pass
0.1,49.0,33.0,7.2,5,Fail
7.7,91.0,96.0,6.9,3,Pass
7.2,69.0,29.0,6.8,0,Fail
6.8,74.0,95.0,6.9,5,Pass
4.7,79.0,44.0,8.0,1,Fail
1.7,72.0,61.0,5.6,0,Fail
7.8,74.0,94.0,6.6,2,Pass
6.7,85.0,74.0,5.3,2,Pass
7.5,88.0,68.0,7.1,6,Pass
2.1,58.0,49.0,6.6,8,Fail
5.0,95.0,46.0,8.1,5,Pass
3.7,61.0,27.0,6.8,7,Fail
5.8,56.0,68.0,6.3,1,Pass
6.8,59.0,56.0,6.5,8,Pass
1.6,62.0,41.0,8.9,5,Fail
1.6,59.0,53.0,4.9,4,Fail
0.4,91.0,94.0,6.0,9,Pass
1.4,74.0,87.0,6.8,3,Pass
2.2,98.0,56.0,6.0,4,Fail
0.7,45.0,97.0,7.4,10,Pass
3.2,77.0,59.0,6.7,1,Fail
6.1,46.0,50.0,7.1,5,Fail
7.1,68.0,53.0,6.9,6,Pass
3.1,63.0,89.0,6.7,7,Pass
0.8,81.0,45.0,5.3,10,Fail
6.8,85.0,41.0,7.0,3,Pass
3.5,54.0,95.0,4.7,1,Pass
2.3,52.0,79.0,6.0,4,Fail
4.2,65.0,81.0,7.4,1,Pass
8.7,55.0,79.0,8.2,8,Pass
3.4,81.0,75.0,9.6,6,Pass
8.6,71.0,32.0,6.3,8,Pass
2.3,90.0,80.0,5.8,3,Pass
0.9,99.0,43.0,7.4,10,Pass
1.4,63.0,35.0,9.0,9,Fail
7.0,95.0,97.0,8.6,10,Pass
4.8,87.0,27.0,5.6,7,Pass
5.2,49.0,27.0,6.6,2,Fail
8.7,90.0,48.0,7.8,1,Pass
4.5,69.0,87.0,7.9,10,Pass
1.1,83.0,96.0,7.5,9,Pass
6.5,82.0,34.0,6.3,9,Pass
1.9,93.0,54.0,7.5,7,Fail
5.2,86.0,79.0,7.9,9,Pass
7.7,89.0,72.0,5.7,5,Pass
4.3,59.0,42.0,8.4,1,Fail
2.8,98.0,49.0,8.0,2,Pass
5.2,80.0,68.0,5.9,9,Pass
1.1,86.0,28.0,7.9,7,Fail
2.8,92.0,80.0,7.8,10,Pass
4.5,47.0,45.0,7.8,9,Fail
2.3,60.0,85.0,8.7,8,Pass
0.4,90.0,75.0,6.8,0,Fail
5.3,95.0,72.0,7.2,2,Pass
3.6,85.0,81.0,3.6,4,Pass
3.5,69.0,30.0,8.1,0,Fail
9.0,55.0,44.0,8.0,10,Pass
1.0,72.0,63.0,8.4,2,Fail
1.4,64.0,82.0,5.7,4,Fail
7.9,93.0,87.0,8.0,7,Pass
1.2,74.0,53.0,8.0,0,Fail
8.3,64.0,83.0,6.0,6,Pass
6.0,70.0,41.0,8.1,1,Fail
4.8,96.0,31.0,7.4,9,Pass
2.5,77.0,43.0,4.8,7,Fail
3.2,54.0,91.0,7.5,3,Pass
7.4,70.0,65.0,5.9,7,Pass
0.5,68.0,60.0,4.8,3,Fail
6.9,59.0,79.0,7.2,1,Pass
7.5,84.0,26.0,6.7,0,Pass
6.4,56.0,34.0,8.5,2,Pass
0.5,70.0,32.0,7.0,7,Fail
6.7,66.0,34.0,7.7,6,Pass
6.5,68.0,58.0,7.4,3,Pass
0.1,74.0,45.0,8.0,7,Fail
8.0,81.0,82.0,5.7,4,Pass
1.2,49.0,86.0,7.0,1,Fail
8.6,57.0,93.0,6.6,7,Pass
0.6,86.0,39.0,7.6,5,Fail
2.1,94.0,62.0,7.1,7,Pass
6.2,43.0,29.0,6.1,6,Fail
1.2,44.0,43.0,6.4,1,Fail
1.7,96.0,70.0,8.8,0,Pass
0.1,49.0,56.0,4.8,1,Fail
7.4,99.0,75.0,7.7,2,Pass
0.3,90.0,86.0,8.3,2,Fail
5.7,47.0,29.0,7.5,10,Pass
5.2,46.0,94.0,9.2,8,Pass
4.6,99.0,28.0,7.9,9,Pass
3.4,55.0,97.0,7.3,5,Pass
2.7,72.0,72.0,6.2,3,Fail
8.6,54.0,28.0,7.3,4,Pass
7.1,76.0,54.0,7.6,9,Pass
8.3,90.0,44.0,6.8,3,Pass
6.6,79.0,83.0,5.9,6,Pass
7.5,43.0,41.0,5.4,1,Fail
8.7,76.0,85.0,7.0,10,Pass
4.1,80.0,48.0,5.0,7,Pass
8.2,52.0,97.0,6.2,10,Pass
0.4,86.0,45.0,3.9,3,Fail
1.0,78.0,75.0,7.8,6,Pass
4.4,41.0,83.0,8.2,3,Fail
4.1,97.0,41.0,6.9,5,Pass
3.9,67.0,31.0,9.0,3,Fail
4.8,54.0,65.0,8.4,1,Pass
4.8,45.0,74.0,7.4,4,Pass
7.8,62.0,85.0,6.7,5,Pass
3.1,58.0,45.0,6.4,1,Fail
2.8,58.0,89.0,7.5,4,Pass
6.3,88.0,92.0,6.6,1,Pass
5.8,79.0,82.0,7.5,7,Pass
7.5,48.0,26.0,7.5,3,Pass
2.8,82.0,31.0,6.5,0,Fail
0.1,83.0,98.0,8.1,5,Pass
8.5,71.0,79.0,,9,Pass
0.4,100.0,71.0,6.8,10,Pass
6.1,57.0,91.0,5.6,10,Pass
2.9,44.0,28.0,6.5,1,Fail
3.8,42.0,80.0,9.4,2,Fail
7.5,59.0,73.0,5.7,9,Pass
3.8,70.0,87.0,7.3,6,Pass
1.3,45.0,82.0,6.3,5,Pass
6.8,74.0,60.0,4.1,8,Pass
0.2,94.0,30.0,7.5,0,Fail
2.5,88.0,91.0,6.1,6,Pass
4.8,80.0,81.0,7.2,6,Pass
3.9,80.0,51.0,8.0,10,Pass
5.6,84.0,97.0,7.1,5,Pass
3.4,70.0,48.0,7.2,5,Pass
3.5,64.0,52.0,5.8,8,Pass
3.1,58.0,96.0,7.6,2,Pass
8.0,,74.0,6.6,0,Pass
0.2,74.0,89.0,4.4,5,Pass
8.5,68.0,90.0,7.8,6,Pass
3.2,47.0,64.0,8.2,5,Pass
3.3,56.0,44.0,8.6,7,Pass
6.5,87.0,87.0,9.4,2,Pass
3.5,,62.0,7.7,0,Fail
5.5,66.0,66.0,7.4,8,Pass
8.1,50.0,65.0,8.1,9,Pass
7.6,50.0,26.0,5.7,6,Fail
4.6,85.0,28.0,4.8,3,Pass
6.4,44.0,70.0,6.2,4,Pass
3.5,57.0,83.0,,5,Pass
7.0,99.0,58.0,6.0,4,Pass
1.5,69.0,39.0,7.4,2,Fail
0.4,76.0,55.0,7.5,4,Fail
4.9,78.0,81.0,7.1,3,Pass
1.9,52.0,33.0,5.3,4,Fail
6.6,62.0,66.0,30.0,4,Pass
0.9,64.0,76.0,6.3,5,Pass
0.1,54.0,55.0,8.8,8,Fail
6.1,54.0,69.0,8.2,3,Pass
4.5,76.0,89.0,6.3,0,Pass
8.6,47.0,41.0,8.9,8,Pass
2.2,48.0,35.0,7.2,2,Fail
1.1,74.0,29.0,4.8,10,Fail
0.2,67.0,78.0,6.7,5,Fail
4.0,77.0,91.0,8.8,5,Pass
0.9,42.0,75.0,5.8,4,Fail
7.0,82.0,96.0,6.7,7,Pass
0.6,91.0,77.0,5.2,7,Pass
8.3,71.0,46.0,5.4,10,Pass
4.9,90.0,44.0,5.8,0,Pass
6.3,64.0,74.0,5.3,2,Pass
1.2,45.0,74.0,6.1,3,Fail
0.8,63.0,63.0,8.9,2,Fail
3.2,67.0,63.0,6.8,10,Pass
4.7,92.0,55.0,7.7,0,Fail
5.2,60.0,51.0,8.1,1,Pass
,59.0,71.0,5.5,4,Fail
2.5,93.0,80.0,5.8,2,Pass
8.8,55.0,84.0,7.7,3,Pass
2.5,79.0,47.0,6.0,6,Fail
1.2,60.0,88.0,7.6,6,Fail
3.2,97.0,47.0,8.8,9,Pass
2.7,51.0,47.0,5.1,4,Fail
3.8,83.0,84.0,6.4,10,Pass
5.6,73.0,96.0,6.6,2,Pass
5.4,99.0,93.0,6.2,2,Pass
6.3,100.0,33.0,6.1,4,Pass
1.4,88.0,46.0,6.2,1,Fail
0.4,46.0,80.0,6.8,0,Fail
7.1,68.0,84.0,7.0,4,Pass
2.0,91.0,62.0,7.9,5,Pass
2.8,78.0,26.0,6.8,3,Fail
4.1,93.0,62.0,8.1,2,Pass
6.4,88.0,27.0,6.1,1,Pass
1.5,59.0,46.0,5.4,1,Fail
8.1,52.0,73.0,6.4,9,Pass
2.9,59.0,35.0,7.4,0,Fail
8.8,82.0,77.0,7.8,7,Pass
2.6,69.0,70.0,8.6,7,Pass
6.5,43.0,56.0,7.1,2,Pass
3.4,85.0,52.0,7.7,2,Fail
7.5,43.0,92.0,8.4,4,Pass
4.2,65.0,65.0,5.9,7,Pass
7.8,68.0,90.0,6.5,0,Pass
6.8,70.0,55.0,10.1,8,Pass
5.3,48.0,68.0,7.8,3,Fail
2.2,85.0,95.0,7.4,5,Pass
2.3,91.0,34.0,7.9,10,Pass
8.9,82.0,44.0,5.2,1,Pass
8.3,97.0,92.0,6.0,10,Pass
1.2,55.0,56.0,5.6,6,Pass
1.8,50.0,45.0,7.3,4,Fail
1.0,44.0,98.0,6.4,0,Fail
1.8,83.0,32.0,6.9,0,Fail
2.6,50.0,70.0,6.4,8,Pass
7.5,96.0,83.0,4.8,4,Pass
0.9,76.0,82.0,7.9,8,Pass
7.9,88.0,57.0,4.7,9,Pass
8.7,66.0,28.0,5.9,4,Pass
2.5,84.0,86.0,5.2,3,Fail
4.1,67.0,84.0,5.7,2,Fail
4.8,72.0,42.0,7.0,7,Pass
1.9,86.0,50.0,8.3,7,Fail
6.6,54.0,62.0,4.9,3,Pass
5.2,93.0,33.0,6.1,6,Pass
1.0,83.0,85.0,4.7,5,Pass
8.1,85.0,92.0,6.1,1,Pass
2.7,54.0,47.0,6.9,5,Fail
1.4,45.0,92.0,7.7,8,Pass
8.8,44.0,83.0,4.3,10,Pass
0.9,79.0,78.0,7.5,3,Pass
0.5,49.0,96.0,5.6,2,Fail
2.1,100.0,49.0,5.3,9,Pass
2.9,98.0,92.0,6.9,10,Pass
3.9,42.0,32.0,7.6,9,Pass
6.2,84.0,60.0,6.7,3,Pass
3.3,56.0,65.0,5.5,3,Fail
5.0,60.0,34.0,6.7,6,Fail
0.1,54.0,79.0,,2,Fail
3.5,90.0,60.0,7.5,8,Pass
8.5,94.0,58.0,8.1,4,Pass
7.0,42.0,67.0,8.0,3,Pass
6.7,56.0,35.0,6.8,8,Pass
2.7,67.0,40.0,8.1,3,Fail
4.4,71.0,38.0,5.6,1,Fail
7.6,45.0,94.0,8.9,8,Pass
,90.0,81.0,5.6,3,Pass
6.4,96.0,64.0,4.4,7,Pass
4.1,64.0,73.0,8.4,7,Pass
0.7,91.0,72.0,5.9,0,Fail
1.1,81.0,44.0,6.9,0,Fail
0.0,76.0,31.0,5.6,9,Fail
3.2,89.0,66.0,9.6,0,Pass
0.2,68.0,44.0,9.0,3,Fail
3.9,73.0,89.0,8.7,8,Pass
5.4,56.0,42.0,6.9,1,Fail
5.4,83.0,67.0,8.0,5,Pass
5.0,50.0,56.0,6.7,1,Fail
2.0,55.0,79.0,8.1,6,Pass
4.7,69.0,94.0,6.3,7,Pass
8.8,63.0,55.0,8.7,2,Pass
4.0,54.0,28.0,6.2,3,Fail
7.9,52.0,73.0,6.4,5,Pass
3.4,92.0,34.0,6.2,8,Fail
5.6,75.0,33.0,7.0,5,Fail
4.3,63.0,73.0,6.3,7,Pass
6.2,91.0,33.0,7.4,4,Pass
8.1,90.0,34.0,6.2,1,Pass
4.0,47.0,57.0,7.7,10,Pass
6.8,74.0,58.0,8.6,8,Pass
7.9,58.0,92.0,6.9,0,Pass
7.1,72.0,45.0,9.5,3,Pass
0.2,83.0,54.0,8.2,4,Fail
0.0,41.0,77.0,9.4,0,Fail
7.9,71.0,85.0,6.7,9,Pass
6.6,58.0,50.0,4.8,1,Fail
8.6,72.0,71.0,6.0,2,Pass
2.6,47.0,71.0,6.1,3,Fail
7.1,89.0,47.0,5.7,10,Pass
7.2,73.0,34.0,4.2,2,Pass
7.7,53.0,75.0,8.0,4,Pass
,86.0,45.0,4.6,7,Pass
1.2,42.0,48.0,7.9,1,Fail
6.1,76.0,67.0,9.4,0,Pass
5.4,70.0,37.0,5.9,1,Fail
3.0,42.0,43.0,7.3,2,Fail
1.9,55.0,58.0,6.3,3,Fail
8.0,45.0,89.0,7.8,10,Pass
1.3,84.0,81.0,5.4,10,Pass
3.8,82.0,48.0,6.6,6,Pass
5.6,45.0,47.0,8.1,10,Pass
8.7,47.0,97.0,6.7,0,Pass
6.0,93.0,73.0,4.8,6,Pass
2.7,52.0,75.0,8.3,4,Fail
0.5,58.0,29.0,5.2,1,Fail
2.9,81.0,33.0,6.9,6,Pass
2.6,44.0,46.0,7.5,5,Fail
7.4,97.0,86.0,6.9,8,Pass
3.4,41.0,91.0,9.8,4,Fail
0.9,,39.0,7.7,4,Fail
7.8,62.0,77.0,6.6,2,Pass
0.2,49.0,89.0,7.5,5,Fail
0.0,63.0,89.0,7.1,0,Fail
4.3,98.0,58.0,6.9,6,Pass
0.6,72.0,44.0,7.1,4,Fail
1.6,44.0,95.0,6.3,3,Fail
8.9,96.0,45.0,7.1,4,Pass
7.6,49.0,43.0,6.2,9,Pass
6.9,43.0,40.0,4.5,7,Pass
6.0,43.0,64.0,8.2,9,Pass
0.4,90.0,33.0,6.1,4,Fail
7.5,49.0,67.0,7.0,4,Pass
4.2,51.0,94.0,5.9,0,Fail
0.9,97.0,62.0,5.9,7,Pass
2.7,77.0,95.0,5.6,0,Pass
4.5,,91.0,7.9,10,Pass
0.1,75.0,83.0,8.2,7,Pass
2.3,55.0,69.0,6.8,5,Pass
3.0,70.0,89.0,6.2,7,Pass
4.2,60.0,66.0,4.8,10,Pass
0.0,77.0,40.0,7.8,1,Fail
5.1,86.0,93.0,6.0,8,Pass
1.8,61.0,62.0,5.5,9,Pass
5.4,49.0,91.0,6.8,6,Pass
2.2,61.0,54.0,6.4,7,Fail
3.6,85.0,50.0,5.0,5,Pass
5.6,87.0,81.0,5.1,1,Pass
5.9,87.0,71.0,7.2,10,Pass
0.3,98.0,57.0,6.0,3,Fail
4.8,89.0,89.0,7.4,4,Pass
7.3,98.0,63.0,7.0,10,Pass
1.9,78.0,26.0,8.1,0,Fail
4.8,54.0,76.0,5.8,4,Pass
4.0,76.0,30.0,7.1,6,Fail
7.6,52.0,60.0,7.6,2,Pass
3.9,45.0,39.0,6.0,7,Fail
8.5,58.0,43.0,8.2,5,Pass
5.9,62.0,97.0,4.8,2,Pass
5.1,83.0,33.0,5.8,2,Fail
2.6,62.0,80.0,4.8,3,Fail
5.4,40.0,72.0,5.9,8,Pass
1.2,95.0,39.0,6.6,5,Pass
3.7,75.0,93.0,7.8,8,Pass
2.6,53.0,40.0,6.6,7,Pass
6.0,55.0,63.0,6.1,8,Pass
6.9,47.0,83.0,4.9,9,Pass
8.4,,81.0,5.3,6,Pass
2.0,54.0,48.0,7.2,3,Fail
8.0,96.0,86.0,7.9,7,Pass
7.6,56.0,95.0,6.3,10,Pass
7.8,88.0,60.0,8.3,3,Pass
6.7,,73.0,5.7,5,Pass
2.4,69.0,52.0,6.3,9,Pass
7.9,62.0,51.0,6.4,6,Pass
5.4,60.0,59.0,8.6,1,Pass
6.7,100.0,39.0,7.0,3,Pass
1.8,83.0,75.0,4.6,2,Fail
1.4,55.0,37.0,7.9,5,Fail
2.5,85.0,25.0,9.0,10,Pass
4.6,48.0,57.0,6.5,9,Pass
3.7,96.0,31.0,5.7,10,Pass
8.0,66.0,66.0,7.8,8,Pass
0.1,51.0,63.0,9.2,5,Fail
0.7,56.0,35.0,7.8,7,Fail
2.9,49.0,43.0,4.9,5,Fail
1.5,96.0,27.0,7.7,0,Fail
3.7,58.0,68.0,7.3,1,Pass
6.5,49.0,46.0,5.7,6,Pass
8.9,89.0,77.0,8.3,7,Pass
1.8,53.0,71.0,7.3,2,Pass
2.4,46.0,52.0,,0,Fail
6.9,80.0,27.0,5.5,0,Pass
2.4,40.0,48.0,7.3,3,Fail
6.3,90.0,49.0,5.7,9,Pass
5.3,74.0,49.0,7.1,4,Fail
,55.0,95.0,8.6,10,Pass
0.3,68.0,37.0,5.1,9,Fail
8.8,56.0,45.0,5.2,9,Pass
8.7,72.0,86.0,7.9,10,Pass
0.2,74.0,93.0,6.8,2,Fail
4.5,86.0,59.0,8.2,10,Pass
3.6,68.0,64.0,5.8,10,Pass
2.3,87.0,29.0,6.9,8,Pass
8.8,44.0,84.0,7.6,2,Pass
1.6,95.0,68.0,7.1,3,Pass
2.4,51.0,60.0,4.7,7,Pass
0.1,90.0,47.0,10.2,0,Fail
5.2,70.0,57.0,7.1,9,Pass
7.7,46.0,79.0,5.2,4,Pass
5.6,62.0,31.0,7.2,0,Fail
5.9,95.0,62.0,7.3,3,Pass
0.6,90.0,28.0,8.0,4,Fail
6.4,83.0,81.0,7.9,7,Pass
3.7,63.0,40.0,6.5,6,Fail
4.3,75.0,91.0,4.7,4,Pass
5.3,54.0,60.0,7.4,6,Pass
8.8,79.0,58.0,4.8,9,Pass
6.7,56.0,51.0,8.3,3,Pass
6.2,90.0,63.0,5.9,4,Pass
3.9,82.0,50.0,7.6,1,Pass
0.3,63.0,51.0,6.0,4,Fail
4.8,80.0,39.0,6.2,3,Pass
5.9,60.0,50.0,5.8,8,Pass
6.3,49.0,84.0,7.7,1,Pass
5.5,54.0,43.0,6.1,6,Pass
2.7,56.0,85.0,7.7,8,Pass
2.0,54.0,88.0,6.1,2,Pass
0.8,81.0,74.0,6.5,0,Fail
6.3,84.0,27.0,6.8,7,Pass
8.7,67.0,66.0,7.0,6,Pass
4.7,99.0,86.0,5.7,6,Pass
6.1,93.0,52.0,7.6,9,Pass
6.2,45.0,46.0,6.5,1,Fail
1.5,68.0,48.0,7.5,2,Fail
1.7,95.0,56.0,6.8,5,Pass
1.9,53.0,30.0,7.5,6,Fail
8.4,63.0,42.0,6.3,10,Pass
,97.0,72.0,,6,Fail
4.9,87.0,59.0,7.3,2,Pass
3.4,90.0,43.0,6.2,9,Pass
5.9,93.0,93.0,8.6,4,Pass
2.0,50.0,47.0,6.9,9,Fail
8.7,82.0,34.0,5.2,3,Pass
3.0,88.0,40.0,6.1,8,Pass
8.3,54.0,47.0,5.6,5,Pass
5.3,43.0,63.0,8.1,6,Pass
,51.0,30.0,7.7,10,Fail
6.6,84.0,87.0,6.7,1,Pass
5.0,82.0,89.0,7.1,3,Pass
1.2,94.0,48.0,6.7,2,Fail
6.3,59.0,82.0,7.8,9,Pass
5.2,77.0,69.0,7.4,9,Pass
5.1,42.0,87.0,7.6,9,Pass
6.6,96.0,45.0,6.6,2,Pass
5.9,73.0,70.0,6.0,2,Pass
3.3,85.0,30.0,7.6,4,Fail
2.9,57.0,26.0,8.7,8,Fail
2.3,45.0,89.0,8.1,8,Pass
5.2,44.0,47.0,8.7,10,Pass
2.7,89.0,58.0,7.0,8,Pass
1.1,49.0,42.0,5.6,10,Fail
7.0,89.0,89.0,5.7,2,Pass
1.9,56.0,53.0,8.5,6,Pass
1.5,72.0,38.0,4.6,5,Fail
7.6,,69.0,8.6,1,Pass
6.3,43.0,40.0,5.9,10,Fail
6.9,73.0,44.0,9.1,1,Pass
3.2,62.0,74.0,6.7,9,Pass
5.6,66.0,95.0,7.7,2,Pass
8.4,76.0,80.0,9.7,2,Pass
2.5,59.0,34.0,6.4,6,Fail
0.6,74.0,48.0,6.4,5,Fail
1.5,79.0,83.0,6.0,4,Pass
8.1,45.0,45.0,5.6,9,Pass
2.5,61.0,79.0,6.4,7,Pass
4.4,45.0,59.0,6.1,6,Fail
4.8,40.0,90.0,5.3,8,Pass
8.6,43.0,51.0,6.5,8,Pass
2.7,76.0,93.0,7.3,1,Pass
4.7,45.0,55.0,5.7,4,Fail
8.6,92.0,78.0,6.6,9,Pass
1.8,86.0,39.0,8.5,8,Pass
5.4,41.0,64.0,5.1,0,Fail
0.6,74.0,48.0,9.1,2,Fail
2.4,41.0,26.0,6.0,2,Fail
0.6,47.0,57.0,7.0,5,Fail
3.0,99.0,38.0,8.3,8,Pass
1.9,67.0,95.0,8.7,5,Pass
7.2,42.0,84.0,7.4,2,Pass
4.2,91.0,79.0,6.0,6,Pass
3.6,95.0,58.0,5.9,2,Pass
6.2,73.0,44.0,6.1,7,Pass
8.5,82.0,49.0,9.1,10,Pass
2.7,87.0,40.0,6.3,6,Fail
0.6,84.0,65.0,7.2,10,Pass
1.0,70.0,84.0,5.5,5,Pass
7.7,90.0,39.0,5.4,8,Pass
7.6,72.0,25.0,6.8,10,Pass
4.3,56.0,34.0,6.4,1,Fail
1.3,40.0,59.0,,7,Fail
4.7,62.0,26.0,5.0,2,Fail
6.0,45.0,54.0,6.7,0,Fail
3.0,44.0,33.0,8.7,2,Fail
0.7,68.0,33.0,5.8,1,Fail
2.9,97.0,77.0,7.9,2,Pass
6.2,46.0,98.0,3.0,0,Fail
8.8,56.0,39.0,5.8,10,Pass
1.7,90.0,42.0,4.5,4,Fail
8.2,64.0,47.0,8.3,1,Pass
4.1,86.0,82.0,7.9,3,Pass
6.0,73.0,62.0,5.6,8,Pass
