age,monthly_income,loan_amount,existing_loans,missed_payments,credit_history_years,credit_score
63.0,41944.0,142620.0,1,0,16.0,Average
38.0,46126.0,115075.0,2,3,8.0,Poor
49.0,23168.0,80773.0,4,1,24.0,Average
49.0,19914.0,9553.0,0,3,11.0,Average
30.0,33735.0,79513.0,2,0,6.0,Average
45.0,54649.0,54540.0,4,2,11.0,Average
23.0,13640.0,5004.0,0,1,23.0,Good
59.0,37794.0,107680.0,2,1,23.0,Good
57.0,20898.0,64237.0,2,0,8.0,Poor
27.0,57407.0,173616.0,1,1,22.0,Good
47.0,42855.0,128128.0,2,1,7.0,Poor
25.0,20739.0,67605.0,3,2,4.0,Poor
24.0,58034.0,118243.0,1,1,5.0,Average
48.0,,67736.0,2,1,6.0,Average
56.0,32450.0,102301.0,2,1,7.0,Poor
58.0,97616.0,269996.0,0,0,7.0,Average
35.0,34099.0,35464.0,1,1,9.0,Average
61.0,28097.0,53682.0,3,3,0.0,Poor
44.0,49077.0,47803.0,2,2,9.0,Average
38.0,,255857.0,4,1,13.0,Poor
36.0,13837.0,16803.0,4,1,,Average
53.0,64230.0,167253.0,1,4,12.0,Poor
37.0,90000000.0,151708.0,4,1,5.0,Poor
38.0,73472.0,291606.0,4,1,3.0,Poor
38.0,66486.0,126498.0,2,2,22.0,Good
35.0,45266.0,159703.0,3,1,24.0,Good
38.0,49576.0,136736.0,1,1,10.0,Average
,38835.0,12864.0,0,3,19.0,Good
59.0,75187.0,131407.0,1,0,3.0,Average
32.0,26028.0,45763.0,3,1,4.0,Poor
40.0,38584.0,28653.0,2,0,12.0,Good
28.0,54759.0,104986.0,2,2,17.0,Good
44.0,58100.0,42465.0,2,3,17.0,Average
32.0,58207.0,197375.0,3,3,8.0,Poor
28.0,47451.0,77773.0,3,2,21.0,Good
33.0,58422.0,57110.0,3,2,15.0,Average
60.0,49466.0,124988.0,2,0,7.0,Average
58.0,84365.0,293004.0,0,0,11.0,Good
55.0,25620.0,96312.0,1,1,7.0,Poor
29.0,58303.0,210407.0,0,1,3.0,Poor
49.0,35838.0,127712.0,3,0,0.0,Poor
57.0,40231.0,63878.0,1,2,11.0,Average
49.0,87888.0,190722.0,1,0,0.0,Average
58.0,87205.0,145967.0,2,0,24.0,Good
29.0,75175.0,279077.0,2,1,21.0,Good
41.0,29801.0,19176.0,4,2,18.0,Average
35.0,28424.0,66824.0,0,1,18.0,Good
52.0,20719.0,25144.0,4,0,15.0,Average
26.0,78729.0,271330.0,1,1,18.0,Average
35.0,23470.0,36498.0,4,1,21.0,Average
51.0,32762.0,114524.0,2,1,12.0,Average
21.0,29853.0,111464.0,2,3,20.0,Poor
32.0,28183.0,26387.0,3,2,5.0,Poor
52.0,16754.0,51782.0,0,2,22.0,Average
31.0,31339.0,49983.0,3,2,17.0,Average
47.0,41911.0,75110.0,3,2,2.0,Poor
38.0,21910.0,28816.0,0,2,4.0,Average
41.0,26408.0,68177.0,0,0,3.0,Poor
36.0,72592.0,113949.0,3,2,6.0,Poor
60.0,24418.0,74238.0,0,1,19.0,Good
52.0,36621.0,116470.0,2,1,20.0,Average
52.0,,66674.0,1,1,24.0,Good
55.0,26640.0,8460.0,3,2,3.0,Poor
39.0,61780.0,33639.0,4,1,14.0,Good
25.0,71029.0,93269.0,4,2,20.0,Good
23.0,19792.0,75790.0,3,1,24.0,Average
42.0,29572.0,51961.0,3,0,2.0,Poor
59.0,25758.0,78656.0,0,2,16.0,Average
42.0,32895.0,123800.0,4,1,1.0,Poor
64.0,37873.0,59241.0,4,0,2.0,Poor
44.0,17075.0,40583.0,0,2,20.0,Good
48.0,37783.0,130487.0,3,5,23.0,Poor
24.0,15418.0,39698.0,0,2,4.0,Poor
54.0,87595.0,62649.0,3,0,20.0,Good
60.0,67457.0,212316.0,1,0,22.0,Good
43.0,41693.0,151977.0,0,2,13.0,Poor
60.0,18060.0,56789.0,1,2,4.0,Poor
31.0,57263.0,176622.0,1,1,18.0,Good
42.0,31005.0,95994.0,1,0,13.0,Average
61.0,64482.0,165486.0,1,2,8.0,Poor
47.0,59162.0,71994.0,2,1,21.0,Good
51.0,32724.0,120100.0,3,3,15.0,Poor
38.0,36367.0,28256.0,2,1,6.0,Average
45.0,26077.0,87645.0,2,1,10.0,Poor
37.0,18430.0,30035.0,1,1,7.0,Average
51.0,37446.0,104592.0,1,0,13.0,Good
23.0,52836.0,173242.0,0,3,6.0,Poor
43.0,39649.0,129049.0,1,1,15.0,Average
61.0,35456.0,31777.0,0,1,11.0,Good
23.0,49393.0,126466.0,2,1,1.0,Poor
40.0,34919.0,38197.0,3,1,0.0,Poor
50.0,41727.0,29826.0,4,2,2.0,Poor
24.0,32158.0,70753.0,1,1,4.0,Poor
21.0,37024.0,146387.0,0,2,2.0,Poor
28.0,21373.0,84042.0,4,2,16.0,Poor
30.0,27524.0,66652.0,3,1,14.0,Average
59.0,86179.0,272071.0,1,0,0.0,Poor
27.0,20447.0,25023.0,4,0,10.0,Average
49.0,89478.0,101123.0,3,2,7.0,Average
35.0,40913.0,119226.0,3,0,12.0,Average
44.0,18315.0,58758.0,1,2,14.0,Poor
60.0,58102.0,176909.0,2,4,12.0,Poor
58.0,20050.0,13768.0,1,0,9.0,Good
24.0,55220.0,89357.0,3,1,1.0,Poor
24.0,46586.0,21591.0,4,0,19.0,Good
36.0,39518.0,126805.0,4,1,19.0,Average
56.0,43696.0,63510.0,1,1,21.0,Good
54.0,44902.0,84866.0,3,2,17.0,Average
48.0,,83818.0,3,1,8.0,Poor
58.0,93127.0,28128.0,0,3,17.0,Good
29.0,73971.0,119111.0,3,0,22.0,Good
53.0,56895.0,170170.0,0,0,0.0,Poor
63.0,32195.0,43735.0,0,1,12.0,Good
63.0,30753.0,74138.0,0,2,16.0,Average
52.0,44786.0,175361.0,2,0,24.0,Good
51.0,30895.0,22775.0,0,1,12.0,Good
30.0,34484.0,44570.0,2,1,21.0,Good
53.0,57455.0,162636.0,3,1,19.0,Average
31.0,75531.0,189885.0,2,1,19.0,Good
39.0,45332.0,177639.0,1,2,2.0,Poor
26.0,42329.0,18118.0,1,2,12.0,Good
34.0,18028.0,63974.0,3,3,18.0,Poor
24.0,55984.0,117993.0,1,1,3.0,Poor
41.0,59314.0,67590.0,3,0,24.0,Good
24.0,66855.0,144570.0,3,1,17.0,Good
54.0,126800.0,231426.0,2,0,21.0,Good
49.0,30287.0,29183.0,1,1,15.0,Good
49.0,81254.0,90335.0,0,2,22.0,Good
51.0,76755.0,104857.0,3,1,22.0,Good
54.0,42723.0,100106.0,1,2,1.0,Poor
50.0,20110.0,12216.0,2,0,23.0,Good
48.0,71820.0,45155.0,0,2,13.0,Good
29.0,82703.0,126326.0,3,0,12.0,Good
53.0,22563.0,65816.0,4,1,6.0,Poor
42.0,53393.0,209286.0,4,3,10.0,Poor
27.0,41128.0,14165.0,1,0,13.0,Good
42.0,39991.0,155871.0,0,2,13.0,Poor
35.0,18287.0,51905.0,0,1,17.0,Average
29.0,70849.0,257440.0,1,3,16.0,Poor
45.0,32346.0,73893.0,0,2,18.0,Good
60.0,100405.0,202103.0,0,1,14.0,Good
21.0,35599.0,114098.0,3,1,24.0,Good
26.0,30352.0,70997.0,0,0,21.0,Good
61.0,31986.0,115797.0,3,1,23.0,Average
51.0,36483.0,131497.0,4,0,18.0,Average
31.0,35972.0,81393.0,4,1,6.0,Poor
37.0,70989.0,172001.0,4,1,24.0,Good
24.0,35789.0,71156.0,1,3,22.0,Good
58.0,77422.0,220715.0,3,1,7.0,Poor
50.0,70059.0,197897.0,0,0,22.0,Good
31.0,65000.0,175968.0,1,1,13.0,Average
29.0,58911.0,31264.0,3,1,18.0,Good
51.0,23943.0,92546.0,1,2,8.0,Poor
45.0,61051.0,94124.0,1,1,6.0,Average
53.0,70188.0,84998.0,2,0,10.0,Good
31.0,80051.0,86526.0,1,4,4.0,Poor
64.0,18701.0,10404.0,3,2,3.0,Poor
28.0,68330.0,136048.0,4,1,10.0,Poor
28.0,18895.0,8574.0,2,1,23.0,Good
53.0,54889.0,49145.0,2,1,0.0,Poor
45.0,50104.0,16009.0,3,4,8.0,Poor
38.0,25991.0,24596.0,2,3,7.0,Poor
53.0,42281.0,168380.0,2,2,5.0,Poor
46.0,38038.0,87616.0,4,0,1.0,Poor
38.0,51691.0,28350.0,1,2,4.0,Average
30.0,41413.0,98867.0,1,3,13.0,Poor
52.0,48092.0,121333.0,0,0,10.0,Good
45.0,34812.0,80993.0,0,1,15.0,Good
60.0,119823.0,184906.0,3,2,21.0,Good
39.0,48759.0,133199.0,1,2,2.0,Poor
32.0,32134.0,26596.0,3,0,8.0,Average
23.0,31182.0,34686.0,0,2,21.0,Good
32.0,59390.0,236400.0,3,0,,Poor
52.0,,283384.0,2,1,2.0,Average
33.0,74329.0,62944.0,4,0,5.0,Average
45.0,40264.0,44411.0,4,1,9.0,Average
30.0,17921.0,53392.0,2,2,6.0,Poor
61.0,26686.0,19484.0,4,1,12.0,Average
60.0,29941.0,48197.0,4,0,5.0,Average
56.0,17555.0,26597.0,3,1,14.0,Average
53.0,36894.0,42189.0,2,2,21.0,Good
46.0,55510.0,114589.0,4,2,7.0,Poor
21.0,33354.0,23597.0,4,1,13.0,Average
22.0,62841.0,125010.0,2,4,17.0,Average
40.0,30973.0,13030.0,1,1,1.0,Average
54.0,20883.0,81240.0,1,1,8.0,Poor
26.0,28479.0,72281.0,4,0,15.0,Average
45.0,27000.0,15600.0,0,1,6.0,Good
62.0,19024.0,19132.0,0,1,10.0,Average
57.0,24419.0,73864.0,2,2,11.0,Poor
45.0,16681.0,50163.0,4,2,23.0,Poor
46.0,16340.0,26968.0,1,1,2.0,Poor
23.0,33016.0,28038.0,2,0,15.0,Good
21.0,29686.0,67771.0,0,0,24.0,Good
34.0,105693.0,139797.0,4,1,22.0,Good
56.0,24893.0,16384.0,4,2,13.0,Average
21.0,31926.0,50449.0,3,1,9.0,Average
56.0,44035.0,135573.0,0,2,3.0,Poor
32.0,65262.0,105093.0,0,2,6.0,Average
25.0,78428.0,35362.0,3,1,19.0,Good
25.0,44323.0,33041.0,0,2,0.0,Poor
51.0,37165.0,93153.0,0,0,18.0,Good
22.0,27757.0,61953.0,4,2,23.0,Average
44.0,41480.0,116019.0,2,0,10.0,Average
62.0,75013.0,181192.0,2,1,20.0,Good
46.0,40758.0,87212.0,3,0,24.0,Good
35.0,49375.0,101611.0,1,2,19.0,Good
60.0,61051.0,235516.0,1,1,12.0,Average
24.0,47268.0,164988.0,2,0,14.0,Average
31.0,51772.0,88874.0,0,0,5.0,Average
28.0,46540.0,126488.0,1,2,3.0,Poor
21.0,23856.0,8960.0,2,1,19.0,Good
63.0,41981.0,15849.0,4,0,12.0,Good
30.0,44387.0,65636.0,3,0,23.0,Good
24.0,91399.0,282664.0,3,2,18.0,Average
61.0,27945.0,104073.0,1,0,6.0,Poor
63.0,43342.0,122528.0,0,2,24.0,Good
30.0,32924.0,95929.0,1,3,0.0,Poor
38.0,87073.0,36469.0,3,0,2.0,Average
50.0,69444.0,259831.0,0,1,15.0,Good
39.0,42927.0,26663.0,4,1,15.0,Good
55.0,13143.0,49990.0,1,3,18.0,Poor
31.0,71141.0,58642.0,3,1,16.0,Good
56.0,19510.0,8263.0,4,0,6.0,Average
45.0,16878.0,40260.0,3,1,3.0,Poor
21.0,62994.0,45387.0,0,1,24.0,Good
48.0,50490.0,20530.0,1,1,8.0,Good
21.0,48021.0,133064.0,2,2,4.0,Poor
58.0,28550.0,86551.0,4,1,1.0,Poor
64.0,18359.0,25407.0,3,2,20.0,Average
27.0,13608.0,30944.0,3,1,21.0,Average
44.0,47882.0,118190.0,4,3,21.0,Average
35.0,20923.0,18729.0,0,2,21.0,Good
23.0,52378.0,100997.0,0,1,4.0,Average
50.0,22117.0,58760.0,2,0,0.0,Poor
22.0,43471.0,155498.0,2,0,12.0,Average
22.0,23440.0,43359.0,1,2,12.0,Average
56.0,59912.0,172998.0,3,0,0.0,Poor
33.0,46821.0,100956.0,0,1,21.0,Good
60.0,41476.0,120953.0,0,1,16.0,Average
47.0,25149.0,80961.0,4,1,17.0,Poor
44.0,19153.0,43344.0,0,1,13.0,Average
39.0,,25281.0,2,2,24.0,Good
37.0,28912.0,102319.0,4,0,19.0,Average
,40075.0,101136.0,3,1,14.0,Average
51.0,38857.0,98012.0,2,2,12.0,Average
47.0,37532.0,82008.0,1,1,20.0,Good
21.0,69880.0,65945.0,0,1,8.0,Good
35.0,37932.0,79613.0,0,0,21.0,Good
60.0,23649.0,54067.0,2,0,3.0,Poor
42.0,54323.0,93432.0,2,1,0.0,Poor
32.0,53301.0,45395.0,1,1,1.0,Average
31.0,27445.0,85636.0,1,1,9.0,Poor
29.0,25231.0,50194.0,0,0,13.0,Good
58.0,46661.0,134965.0,0,0,22.0,Good
34.0,21394.0,10137.0,1,1,22.0,Good
34.0,46963.0,101731.0,4,1,0.0,Poor
23.0,80566.0,46163.0,1,2,19.0,Good
60.0,53951.0,162613.0,0,1,5.0,Poor
38.0,83052.0,203441.0,2,1,9.0,Average
52.0,40215.0,79229.0,0,1,21.0,Good
52.0,40156.0,156589.0,2,0,24.0,Good
36.0,42560.0,64106.0,3,0,19.0,Good
42.0,49388.0,92093.0,0,0,4.0,Average
25.0,47856.0,144949.0,4,1,0.0,Poor
50.0,25636.0,57494.0,3,0,24.0,Good
50.0,38443.0,105200.0,4,1,5.0,Poor
30.0,68626.0,268481.0,3,0,5.0,Poor
29.0,23265.0,66864.0,4,0,13.0,Poor
38.0,42521.0,36467.0,2,2,4.0,Poor
51.0,48913.0,52561.0,0,0,16.0,Good
43.0,48903.0,172064.0,0,1,21.0,Good
23.0,18981.0,9064.0,0,2,8.0,Average
46.0,23005.0,50242.0,0,3,11.0,Poor
52.0,67240.0,245563.0,4,1,22.0,Average
29.0,66651.0,211420.0,4,0,22.0,Good
40.0,39297.0,28607.0,3,1,2.0,Poor
56.0,45543.0,138438.0,0,0,18.0,Good
35.0,24212.0,41491.0,4,0,0.0,Poor
24.0,20643.0,75032.0,1,3,3.0,Poor
61.0,,41405.0,4,0,15.0,Average
25.0,20476.0,47718.0,3,3,3.0,Poor
23.0,45518.0,15123.0,2,0,4.0,Good
31.0,36426.0,44576.0,3,4,11.0,Poor
54.0,41333.0,75523.0,3,2,10.0,Poor
49.0,40979.0,122056.0,4,0,14.0,Average
31.0,22727.0,50549.0,3,4,23.0,Average
24.0,46958.0,162211.0,1,1,10.0,Poor
62.0,72110.0,30798.0,0,0,7.0,Good
21.0,22880.0,34199.0,4,0,5.0,Poor
61.0,37782.0,94874.0,3,5,21.0,Poor
41.0,55210.0,151132.0,0,1,5.0,Poor
29.0,66539.0,143652.0,3,2,0.0,Poor
,49788.0,88411.0,4,0,12.0,Average
34.0,24178.0,13655.0,3,2,18.0,Good
27.0,16543.0,47579.0,1,2,0.0,Poor
40.0,32958.0,120092.0,0,1,15.0,Average
49.0,35587.0,117177.0,4,2,10.0,Poor
41.0,66587.0,192739.0,1,1,19.0,Good
49.0,31483.0,83316.0,4,3,0.0,Poor
63.0,22595.0,71322.0,2,0,22.0,Good
26.0,26589.0,84391.0,3,1,21.0,Average
53.0,49546.0,16136.0,1,2,17.0,Good
31.0,39070.0,63451.0,3,1,15.0,Average
21.0,35824.0,125807.0,2,2,17.0,Average
37.0,67512.0,232775.0,1,0,4.0,Poor
38.0,14687.0,42986.0,3,0,22.0,Good
64.0,60953.0,87989.0,2,1,19.0,Good
36.0,12920.0,42019.0,3,3,18.0,Poor
54.0,59218.0,68501.0,0,2,12.0,Good
62.0,42257.0,47715.0,0,2,3.0,Average
35.0,40890.0,93320.0,3,0,12.0,Average
28.0,41351.0,99820.0,4,3,13.0,Poor
63.0,59189.0,94697.0,0,1,6.0,Average
41.0,22263.0,56414.0,0,2,23.0,Good
41.0,52391.0,153176.0,1,3,9.0,Poor
53.0,60130.0,58134.0,0,0,23.0,Good
37.0,36842.0,50395.0,1,1,21.0,Good
44.0,28365.0,81958.0,3,0,1.0,Poor
62.0,17634.0,65789.0,3,2,3.0,Poor
23.0,139320.0,497712.0,3,0,9.0,Average
53.0,41249.0,32162.0,2,0,15.0,Good
38.0,16699.0,40211.0,0,2,2.0,Poor
45.0,23661.0,77150.0,2,2,5.0,Poor
61.0,29185.0,34383.0,4,0,21.0,Good
47.0,60898.0,163195.0,1,5,11.0,Poor
39.0,23662.0,44538.0,2,2,13.0,Average
63.0,28535.0,78531.0,1,1,13.0,Average
47.0,55598.0,23284.0,1,1,24.0,Good
27.0,32274.0,47053.0,2,1,3.0,Poor
24.0,40389.0,58044.0,0,1,13.0,Good
36.0,19904.0,36804.0,0,0,1.0,Average
52.0,21481.0,15548.0,0,3,1.0,Poor
39.0,22598.0,43286.0,3,2,12.0,Poor
28.0,37601.0,86616.0,4,0,22.0,Good
64.0,40168.0,16012.0,2,0,10.0,Good
29.0,42208.0,59656.0,3,0,17.0,Good
24.0,67373.0,64407.0,4,1,23.0,Good
37.0,28263.0,110141.0,3,1,0.0,Poor
25.0,18431.0,14409.0,1,2,17.0,Average
47.0,56431.0,147930.0,3,0,22.0,Good
40.0,43326.0,77417.0,1,0,22.0,Good
,54420.0,74181.0,4,1,18.0,Good
28.0,43260.0,149683.0,4,1,23.0,Average
32.0,29638.0,81716.0,0,0,15.0,Good
190.0,29634.0,76904.0,4,0,0.0,Poor
51.0,26798.0,17326.0,1,2,24.0,Good
36.0,73278.0,92197.0,2,0,21.0,Good
61.0,109249.0,144539.0,3,2,4.0,Poor
58.0,51094.0,97447.0,0,1,23.0,Good
47.0,34178.0,126781.0,0,1,16.0,Average
53.0,27741.0,49754.0,2,0,11.0,Average
44.0,47022.0,71176.0,2,0,20.0,Good
41.0,19995.0,11247.0,2,3,15.0,Average
45.0,50203.0,86567.0,4,0,19.0,Good
58.0,27007.0,13334.0,1,1,8.0,Average
21.0,13348.0,22041.0,3,0,9.0,Average
25.0,83519.0,324121.0,0,1,2.0,Poor
41.0,57244.0,134948.0,2,4,22.0,Average
46.0,19148.0,20542.0,2,5,6.0,Poor
,62349.0,87732.0,2,1,3.0,Average
47.0,26806.0,64685.0,0,2,2.0,Poor
22.0,61649.0,22894.0,0,1,9.0,Good
31.0,37336.0,135470.0,4,1,12.0,Poor
41.0,38606.0,94164.0,4,1,20.0,Average
23.0,40212.0,85308.0,0,2,16.0,Good
48.0,37512.0,110663.0,1,2,20.0,Average
44.0,23354.0,24311.0,4,0,0.0,Poor
45.0,83642.0,31791.0,0,0,0.0,Good
43.0,50924.0,131197.0,2,3,5.0,Poor
51.0,21133.0,18851.0,1,1,9.0,Average
49.0,28577.0,9867.0,4,1,1.0,Poor
50.0,84196.0,314640.0,3,0,21.0,Good
30.0,18979.0,61058.0,3,2,24.0,Average
51.0,49980.0,36113.0,0,2,12.0,Good
28.0,22659.0,81946.0,0,0,20.0,Good
21.0,26487.0,14568.0,3,1,4.0,Poor
64.0,37430.0,122436.0,1,2,0.0,Poor
28.0,47659.0,87385.0,2,0,22.0,Good
26.0,40861.0,90600.0,0,1,20.0,Good
34.0,21687.0,60134.0,0,0,18.0,Good
64.0,82191.0,54691.0,3,1,20.0,Good
59.0,53936.0,197336.0,0,2,17.0,Average
52.0,69650.0,57912.0,0,1,20.0,Good
29.0,36487.0,138062.0,4,1,24.0,Average
48.0,55931.0,35711.0,3,3,21.0,Good
57.0,70066.0,65612.0,1,0,22.0,Good
35.0,45469.0,23324.0,4,2,11.0,Average
32.0,44738.0,79267.0,4,0,20.0,Good
59.0,49521.0,123119.0,2,1,5.0,Poor
26.0,49366.0,128982.0,2,1,7.0,Average
61.0,46032.0,154922.0,3,0,21.0,Good
42.0,59776.0,134795.0,0,2,9.0,Average
52.0,36134.0,79040.0,4,0,20.0,Good
37.0,79007.0,119043.0,0,2,12.0,Good
52.0,15497.0,41983.0,3,0,6.0,Poor
61.0,55292.0,202455.0,2,1,10.0,Poor
42.0,76500.0,123518.0,0,1,14.0,Good
30.0,28391.0,45951.0,2,1,1.0,Poor
24.0,31816.0,49961.0,1,1,13.0,Average
61.0,79902.0,91202.0,4,0,2.0,Poor
64.0,55062.0,131974.0,2,1,12.0,Average
49.0,57144.0,39465.0,1,0,8.0,Good
21.0,35152.0,119121.0,1,3,15.0,Poor
59.0,33717.0,27300.0,0,3,20.0,Good
42.0,35213.0,33225.0,2,1,2.0,Average
31.0,33308.0,18443.0,2,1,2.0,Average
37.0,35485.0,60714.0,4,2,11.0,Poor
62.0,52023.0,161442.0,3,2,18.0,Average
55.0,32709.0,119955.0,2,1,6.0,Poor
47.0,22748.0,43377.0,1,0,19.0,Good
53.0,74343.0,86982.0,1,1,0.0,Poor
58.0,28267.0,84375.0,3,0,7.0,Poor
48.0,31800.0,90507.0,0,0,,Average
34.0,19781.0,55824.0,0,0,15.0,Good
24.0,45051.0,87429.0,4,2,9.0,Poor
26.0,27813.0,66518.0,0,2,22.0,Good
31.0,22377.0,11844.0,1,1,10.0,Good
54.0,62764.0,76889.0,2,2,15.0,Good
25.0,92506.0,345019.0,0,3,2.0,Poor
26.0,29803.0,13548.0,3,1,23.0,Good
64.0,55429.0,78483.0,2,1,12.0,Average
38.0,46831.0,53321.0,0,4,11.0,Average
26.0,42504.0,33233.0,2,2,6.0,Average
59.0,21962.0,81701.0,4,2,15.0,Poor
63.0,44605.0,34159.0,1,1,0.0,Average
43.0,56662.0,119595.0,3,0,11.0,Average
25.0,106963.0,364336.0,2,0,19.0,Good
48.0,16034.0,5040.0,2,1,19.0,Good
58.0,55049.0,38620.0,2,1,15.0,Good
63.0,42468.0,66463.0,2,0,9.0,Good
46.0,35659.0,30161.0,0,1,13.0,Good
62.0,74723.0,72918.0,2,2,4.0,Average
57.0,29522.0,73429.0,2,2,15.0,Average
28.0,91425.0,85147.0,3,1,5.0,Average
48.0,15504.0,41299.0,3,1,8.0,Poor
50.0,33078.0,121972.0,2,3,18.0,Poor
54.0,63389.0,72827.0,1,0,3.0,Average
44.0,43634.0,47363.0,3,2,8.0,Average
53.0,27796.0,9511.0,4,1,8.0,Average
46.0,30328.0,10744.0,4,3,23.0,Good
32.0,50328.0,88956.0,1,1,19.0,Good
42.0,26148.0,55158.0,1,0,9.0,Average
62.0,,79054.0,2,0,15.0,Good
58.0,38065.0,56909.0,3,0,5.0,Average
49.0,36239.0,29685.0,3,0,19.0,Good
35.0,47339.0,133525.0,3,1,8.0,Poor
29.0,19836.0,34790.0,2,0,22.0,Good
33.0,43745.0,131980.0,4,2,22.0,Average
34.0,116182.0,271420.0,0,5,6.0,Poor
63.0,37506.0,63610.0,1,1,10.0,Average
44.0,42952.0,112429.0,2,0,22.0,Good
38.0,58733.0,19178.0,2,2,2.0,Poor
59.0,79818.0,227828.0,4,0,16.0,Average
37.0,43495.0,72762.0,3,3,12.0,Poor
56.0,35339.0,77754.0,2,0,14.0,Good
49.0,62205.0,139129.0,2,0,14.0,Good
34.0,26010.0,61543.0,0,2,12.0,Average
63.0,78669.0,228048.0,1,1,8.0,Average
51.0,66832.0,47410.0,0,0,11.0,Good
64.0,61222.0,129131.0,0,1,24.0,Good
21.0,48431.0,29430.0,2,2,1.0,Poor
33.0,54523.0,63594.0,0,1,4.0,Average
35.0,54493.0,54508.0,0,1,1.0,Average
50.0,45868.0,115368.0,4,0,15.0,Average
57.0,29636.0,75351.0,4,0,8.0,Poor
26.0,55380.0,186870.0,2,0,1.0,Poor
27.0,21730.0,48475.0,4,3,5.0,Poor
50.0,23565.0,71998.0,0,2,6.0,Poor
36.0,81019.0,290825.0,4,2,2.0,Poor
51.0,23330.0,18526.0,2,1,19.0,Good
21.0,71075.0,210921.0,1,0,0.0,Poor
44.0,22966.0,34756.0,3,2,22.0,Average
22.0,36512.0,48518.0,2,0,24.0,Good
62.0,38432.0,148464.0,3,0,22.0,Average
27.0,19236.0,20465.0,1,1,5.0,Average
28.0,51933.0,191313.0,2,0,5.0,Poor
25.0,20490.0,68595.0,0,1,24.0,Good
30.0,21013.0,74616.0,1,0,15.0,Average
42.0,20147.0,49726.0,2,0,13.0,Average
48.0,15424.0,37996.0,4,0,21.0,Average
60.0,60561.0,108377.0,0,1,4.0,Average
59.0,30223.0,53900.0,2,2,10.0,Poor
24.0,33927.0,116962.0,0,0,3.0,Poor
39.0,36267.0,62912.0,2,0,19.0,Good
59.0,30926.0,64969.0,4,5,5.0,Poor
28.0,22540.0,89859.0,1,0,3.0,Poor
50.0,29318.0,47230.0,3,3,9.0,Poor
39.0,36145.0,120854.0,1,3,14.0,Poor
28.0,21967.0,29120.0,4,1,5.0,Poor
23.0,29861.0,11729.0,3,3,22.0,Good
33.0,65267.0,162886.0,1,1,20.0,Good
21.0,29213.0,60575.0,1,4,22.0,Average
29.0,47633.0,152935.0,4,1,9.0,Poor
45.0,51245.0,16161.0,2,0,9.0,Good
55.0,17503.0,9820.0,1,0,13.0,Good
