temperature,humidity,wind_speed,pressure,cloud_cover,rain_tomorrow
12.3,34.9,24.6,1014.5,56.7,No
8.4,45.9,29.8,1016.5,36.7,No
,67.0,30.0,1017.0,8.3,No
12.0,77.4,7.6,1003.9,82.8,Yes
28.3,55.4,2.5,1005.3,94.0,Yes
11.7,32.5,,1004.4,66.6,Yes
23.2,28.3,8.1,1002.7,96.5,Yes
28.8,100.0,28.0,1017.6,93.4,Yes
25.4,56.4,14.3,1014.0,19.5,No
14.0,89.8,18.0,1012.6,73.1,Yes
32.1,58.6,4.5,993.9,34.9,No
29.5,93.8,22.7,1026.4,48.8,Yes
30.2,27.0,7.4,1005.7,15.7,No
11.9,29.1,27.2,1026.4,97.5,No
11.7,94.4,2.8,1001.9,72.6,Yes
35.8,95.8,39.0,1006.3,26.7,Yes
19.9,45.2,27.4,996.6,37.1,Yes
17.0,48.4,7.3,1014.5,42.2,Yes
22.7,56.2,0.6,1004.3,74.8,Yes
27.9,53.3,13.4,1004.5,92.6,Yes
36.7,35.2,6.1,1002.4,32.1,No
16.6,91.9,8.7,1017.4,47.3,Yes
35.7,40.3,34.9,1017.0,59.3,No
8.7,76.4,24.1,1024.7,39.3,Yes
24.7,25.4,7.1,1007.2,50.4,No
27.0,23.1,22.3,1013.5,10.6,No
11.2,72.3,10.2,1003.0,16.8,No
12.2,47.1,39.0,1009.7,40.1,No
20.6,72.4,1.3,1008.4,91.5,Yes
37.0,27.5,29.3,1015.3,34.9,No
25.9,96.0,30.9,1019.1,25.0,Yes
36.0,79.9,2.7,1018.9,74.3,Yes
32.1,90.1,6.9,1006.1,94.9,Yes
22.0,30.9,15.4,1019.0,45.9,No
31.5,45.6,34.7,1011.7,0.9,No
8.5,49.5,21.5,1009.7,68.8,Yes
11.3,63.0,26.2,,41.5,No
32.9,43.7,31.3,1008.1,67.4,Yes
31.9,24.9,33.1,1024.2,27.8,No
15.0,49.5,19.1,1014.2,0.2,No
23.9,40.4,20.4,1013.2,34.4,No
26.2,50.9,28.7,,70.5,No
34.0,35.8,10.5,1029.1,39.3,No
26.1,41.0,34.2,1021.1,21.9,No
20.4,70.2,0.8,1007.0,46.4,Yes
19.2,51.1,7.8,1010.1,75.2,Yes
20.8,47.6,32.0,1010.5,11.9,No
27.6,62.7,13.6,1013.0,69.2,No
34.0,81.7,6.0,1007.1,66.7,Yes
21.6,50.3,7.5,1015.1,37.1,No
15.4,67.0,21.2,1022.2,97.0,Yes
15.1,97.3,33.8,1002.8,89.5,Yes
30.4,61.8,2.8,1004.1,31.6,No
32.5,92.8,1.2,1008.6,3.1,No
11.2,83.5,18.6,1008.9,30.8,Yes
10.0,24.7,38.2,1026.0,20.5,No
25.8,54.3,11.2,1019.0,54.7,Yes
12.4,75.9,38.4,1018.6,91.9,Yes
32.7,98.9,35.5,1010.1,87.0,Yes
17.3,56.7,11.3,1010.0,30.6,No
12.3,27.4,32.7,1001.8,42.9,Yes
35.6,65.0,27.4,1017.5,3.7,No
13.0,30.1,20.5,1015.4,54.4,No
16.5,80.1,16.9,1021.0,6.3,No
12.6,60.6,32.6,1010.5,93.9,Yes
11.5,77.9,31.7,1011.0,86.7,Yes
8.6,89.5,30.3,1013.2,21.4,Yes
9.7,70.3,39.9,1018.2,69.9,Yes
13.2,69.0,19.1,1001.7,56.8,Yes
9.6,80.4,32.3,1017.2,80.1,Yes
25.7,87.4,34.5,1011.9,47.6,Yes
28.4,89.5,8.5,1004.6,19.2,Yes
19.8,22.9,1.7,997.4,64.0,Yes
17.5,64.5,16.2,1011.0,8.0,No
23.1,37.3,34.3,1022.1,58.5,No
34.3,88.8,11.6,1023.7,21.3,No
33.5,71.9,28.0,1014.5,68.5,Yes
9.3,53.6,0.3,1025.7,82.8,No
13.4,35.0,14.2,1011.7,11.0,No
15.1,47.1,24.6,1018.7,40.0,No
15.5,76.3,5.2,1008.8,73.4,Yes
25.1,36.3,35.9,1008.4,16.4,No
20.5,27.5,6.3,1007.3,56.7,No
9.5,91.0,36.4,997.6,67.2,Yes
19.2,81.1,8.7,1021.0,35.5,Yes
23.7,36.0,39.8,1007.5,83.2,No
11.1,43.4,24.2,1006.4,51.1,Yes
33.0,97.8,3.4,1003.7,62.7,Yes
9.6,76.7,2.6,1010.6,14.1,No
35.7,68.8,3.0,1024.3,2.3,No
11.0,,23.6,1026.7,5.1,No
33.3,43.9,32.4,1000.4,90.4,Yes
35.1,23.2,16.1,1009.5,88.3,Yes
37.4,78.3,17.8,1004.8,80.8,Yes
32.1,23.5,23.6,1018.9,20.0,No
31.4,20.4,21.3,1014.0,52.5,No
27.3,78.4,27.5,1007.5,79.6,Yes
31.4,95.9,18.9,1012.5,67.5,Yes
12.0,80.5,28.6,1008.7,11.6,No
24.1,57.7,39.9,1023.3,89.6,Yes
23.4,58.9,14.0,1015.8,16.1,No
33.7,54.9,0.5,1016.7,17.2,No
21.9,46.0,5.0,993.3,90.1,Yes
19.6,61.7,22.1,1011.5,48.5,Yes
27.2,54.5,13.8,1026.6,37.3,No
16.0,67.9,37.6,1021.3,55.4,Yes
12.2,91.8,25.1,999.1,98.1,Yes
22.3,99.6,20.8,1009.8,12.0,Yes
20.5,26.3,31.9,1003.6,75.7,No
15.0,50.8,10.3,1024.0,33.4,No
19.0,34.5,32.8,1013.7,11.7,No
19.0,48.2,0.1,1006.6,42.2,No
17.8,43.0,24.8,1012.2,54.9,No
19.4,34.0,37.4,993.7,20.6,No
28.6,81.1,31.5,1004.4,40.5,Yes
16.9,59.7,34.1,1012.3,63.6,Yes
36.5,93.5,15.9,1017.9,57.6,Yes
35.5,22.6,33.0,998.4,72.3,No
22.4,25.4,22.0,1009.3,83.6,No
17.9,52.3,24.7,1019.1,40.9,No
24.1,26.4,2.4,1001.8,42.3,No
33.5,41.0,8.1,1013.6,49.7,No
27.6,98.9,22.0,1012.5,56.6,Yes
32.1,36.7,2.4,1024.0,10.8,No
24.0,35.8,29.7,1010.4,31.3,No
27.0,65.9,33.6,1010.8,17.2,No
16.6,59.8,36.8,1018.0,38.6,Yes
30.0,66.4,4.1,1002.7,97.3,Yes
14.1,50.1,37.6,1010.5,58.3,Yes
28.8,86.1,2.7,1008.8,42.9,Yes
33.8,31.1,19.0,1011.0,56.6,No
12.0,54.3,33.6,1017.9,66.9,Yes
26.4,75.2,2.8,1015.9,43.5,Yes
10.9,89.5,0.7,1006.8,44.8,Yes
29.8,49.6,1.0,1013.0,70.1,No
10.5,65.4,20.5,1022.4,6.1,No
36.1,25.5,32.5,1006.2,54.0,No
12.1,33.6,5.1,1013.0,54.7,No
36.8,25.5,5.0,1010.6,75.7,No
32.0,78.2,22.7,1011.6,98.3,Yes
25.8,43.0,9.4,1000.6,79.6,Yes
31.5,77.9,29.2,1021.9,50.4,Yes
31.9,25.3,38.0,1006.6,16.9,No
36.4,89.0,30.6,1019.2,58.8,Yes
15.6,86.8,35.1,1007.7,83.4,Yes
25.7,27.1,20.8,1007.6,93.2,Yes
10.9,21.9,33.3,1020.5,82.5,No
26.5,24.5,7.3,1019.0,18.9,No
13.1,88.3,2.7,1013.5,71.3,Yes
24.9,,26.2,1017.3,88.0,No
25.2,63.9,2.1,1010.0,68.1,Yes
22.0,54.1,35.7,1011.9,68.6,Yes
23.7,83.6,27.7,1007.4,50.0,Yes
30.9,59.1,38.1,1018.3,63.7,No
32.0,60.1,12.6,1007.1,29.4,No
22.8,99.1,19.4,1022.4,8.9,No
26.0,32.0,29.7,1009.8,82.8,Yes
35.9,86.5,9.7,1012.1,94.3,Yes
11.6,24.1,21.7,1017.3,85.7,No
11.5,58.2,26.4,1012.2,33.4,No
10.6,90.9,39.2,1009.9,9.4,Yes
27.7,73.2,29.8,1011.8,28.0,No
20.6,74.8,4.7,1018.3,84.3,Yes
31.2,,19.0,1007.4,65.6,No
28.1,53.5,23.6,1011.1,96.7,Yes
18.0,49.3,5.9,1012.1,34.3,Yes
35.0,61.7,17.3,1018.1,55.1,No
30.9,57.0,11.4,1011.3,79.0,Yes
16.1,46.2,4.8,1024.7,23.4,No
18.9,44.4,20.5,1010.9,96.4,Yes
17.4,40.1,6.6,1010.3,59.2,Yes
12.7,49.2,23.6,1010.8,0.8,No
12.4,32.0,6.8,1002.8,2.5,No
36.1,89.8,28.9,1004.7,88.2,Yes
21.1,68.2,7.8,1008.3,64.5,Yes
,30.7,35.9,1020.0,76.3,No
29.9,75.5,1.0,1011.8,78.4,Yes
24.6,87.8,20.9,1008.6,42.0,Yes
36.1,39.0,12.8,1020.6,79.9,Yes
31.4,32.0,9.0,1022.9,93.8,No
22.4,20.7,18.9,1020.8,17.2,No
19.3,23.8,33.7,1006.0,76.4,Yes
37.6,81.0,36.6,1008.5,30.8,Yes
29.5,99.0,12.1,1024.7,32.1,Yes
36.5,23.6,6.2,1013.7,41.3,No
11.6,79.8,28.8,1010.1,86.4,Yes
33.5,25.7,23.3,1017.0,2.2,No
27.1,67.4,8.0,1019.1,43.4,No
11.7,80.5,30.4,1008.0,68.0,Yes
25.6,48.7,,1013.5,11.0,No
28.6,20.9,26.1,1018.5,79.2,No
8.4,,14.4,1003.9,94.2,Yes
21.6,99.3,17.6,1012.1,9.1,Yes
32.8,40.6,7.2,1004.2,15.3,No
16.9,35.2,30.3,1005.1,97.4,Yes
21.8,29.9,6.3,1008.1,19.8,No
,64.4,31.1,1015.3,7.9,No
17.1,67.7,31.9,1009.7,95.2,Yes
35.6,83.4,29.9,1007.5,89.3,Yes
31.4,80.2,,1012.4,65.6,Yes
11.3,91.4,10.9,1004.0,55.1,Yes
37.9,84.5,18.7,1015.0,91.9,Yes
34.4,39.8,23.8,1019.9,65.6,No
16.5,64.5,36.8,1011.4,65.8,Yes
33.1,43.8,15.0,1010.6,84.4,Yes
11.2,46.4,35.0,1014.6,65.3,Yes
38.0,94.6,6.5,997.8,50.4,Yes
28.0,74.6,14.9,1015.8,39.0,Yes
27.5,98.0,2.1,1033.7,50.3,Yes
10.7,53.4,29.7,1011.1,52.2,No
34.9,63.0,6.0,1011.2,36.1,No
8.9,59.0,10.3,1017.2,44.8,Yes
15.2,28.6,31.0,1023.5,80.2,No
12.3,38.9,21.4,1018.8,41.7,No
31.3,62.2,0.6,996.9,2.6,No
13.9,25.4,0.1,1015.9,28.3,No
35.3,94.5,20.4,1030.0,23.2,No
27.7,29.9,12.2,1016.4,79.4,No
9.1,35.8,7.2,1003.9,44.9,Yes
8.2,81.2,24.5,1014.0,28.0,No
9.5,27.8,9.1,1003.0,81.1,Yes
26.2,92.0,23.7,1020.6,1.9,No
32.0,78.1,15.2,1005.3,17.4,No
15.2,25.5,7.5,1012.5,82.7,Yes
33.5,75.3,5.5,1006.0,55.1,Yes
9.7,70.5,9.5,1008.2,77.4,Yes
32.0,80.6,1.2,1022.4,83.8,Yes
35.8,86.3,12.3,1012.7,94.2,Yes
31.2,77.5,36.1,1008.1,6.3,No
28.9,66.9,33.3,1004.0,79.9,Yes
33.1,45.8,14.9,998.9,70.9,Yes
9.2,75.8,23.0,1003.2,20.7,Yes
14.1,96.6,22.7,1012.8,93.2,Yes
11.7,67.0,33.1,1018.9,40.4,No
23.1,73.1,9.5,1008.1,88.8,Yes
30.4,55.0,11.9,1023.0,60.5,No
26.9,80.5,12.1,1007.0,52.7,Yes
33.5,99.8,1.6,1010.3,16.0,No
12.7,32.8,12.6,1004.4,91.4,Yes
30.0,36.2,35.1,1018.9,55.7,No
13.8,63.2,36.5,1026.7,0.6,No
16.1,58.5,4.4,999.7,1.8,No
29.3,65.7,18.3,1009.6,77.8,Yes
37.4,23.9,15.3,1020.9,16.2,No
26.3,52.3,19.6,1001.9,59.9,Yes
9.6,66.6,22.2,1016.0,68.1,Yes
26.5,66.8,0.8,1020.6,27.9,No
9.3,72.6,33.7,1012.5,56.9,Yes
34.5,77.6,38.9,1015.9,24.0,No
29.3,71.3,26.1,1024.3,94.6,Yes
13.2,83.2,26.4,1025.6,86.0,Yes
10.8,70.0,21.1,1011.6,28.8,No
13.5,63.0,13.4,1008.3,52.9,No
150.0,68.5,6.0,1005.6,50.1,Yes
21.8,28.1,23.4,1018.8,96.0,No
31.5,41.9,1.8,1002.4,39.4,No
27.1,62.2,33.0,1010.2,56.2,Yes
25.2,89.8,16.8,1012.7,92.9,Yes
12.4,74.3,16.6,1008.5,16.3,Yes
36.4,27.2,13.1,1014.0,55.0,No
17.0,67.4,38.8,1030.0,10.6,No
25.3,37.7,7.0,1011.1,61.7,No
29.0,78.7,6.1,1009.0,36.6,Yes
27.5,86.2,6.6,1019.1,96.8,Yes
36.2,67.5,26.3,1013.7,41.5,No
12.5,67.3,39.7,1022.1,13.6,No
23.3,47.1,9.4,1013.2,83.4,Yes
20.1,55.7,36.2,1010.3,82.1,Yes
22.2,89.1,11.1,999.5,69.5,Yes
11.6,77.9,25.9,1000.7,74.9,Yes
12.0,61.6,1.6,999.2,26.5,Yes
16.3,49.5,19.8,1014.7,64.2,No
17.1,24.0,26.2,1002.5,3.8,No
20.8,31.4,21.5,1020.8,19.7,No
26.3,35.4,9.5,1012.2,93.2,Yes
27.0,49.9,33.1,1010.3,73.9,Yes
20.4,95.5,38.8,1006.1,23.1,Yes
20.3,60.4,18.4,1016.4,11.1,No
14.5,38.8,25.4,1006.4,94.9,Yes
25.6,28.5,31.6,1005.1,11.2,No
17.5,47.1,9.7,1020.3,25.7,No
9.1,85.3,34.6,1014.5,18.3,Yes
20.6,50.7,11.2,1010.4,0.7,No
22.2,81.8,31.0,1016.5,31.4,Yes
14.8,84.2,4.5,1012.1,97.4,Yes
25.2,28.9,11.5,1014.7,34.2,No
25.0,68.7,21.3,1006.3,50.4,Yes
29.1,96.7,21.0,1026.5,74.6,Yes
27.4,52.2,34.0,1007.9,55.1,No
27.6,24.1,39.8,1022.9,74.4,No
17.5,93.9,4.3,1010.7,66.2,Yes
31.6,90.7,10.9,1017.6,60.9,Yes
24.5,61.8,14.3,1017.1,65.0,Yes
20.9,64.2,19.2,1020.0,79.9,Yes
26.8,36.9,19.8,1006.1,71.0,No
18.8,85.6,34.2,1019.5,79.2,Yes
23.4,59.9,30.8,1024.9,14.6,No
30.1,22.7,0.8,1010.2,67.8,No
34.6,74.6,18.2,1012.2,73.7,Yes
35.6,96.0,24.7,1008.3,30.0,Yes
23.1,86.3,18.4,1009.6,87.5,Yes
23.6,42.2,5.2,1024.0,30.5,No
32.0,24.3,15.9,1005.0,24.4,No
17.4,95.2,16.5,1005.4,86.7,Yes
33.1,95.0,7.5,1023.3,24.7,Yes
22.8,62.6,30.3,1016.4,41.6,Yes
11.5,71.4,12.9,1026.8,36.8,No
10.2,57.0,23.6,1008.8,89.8,Yes
33.3,53.6,20.6,1012.9,45.5,No
9.7,29.6,35.1,1007.4,69.4,No
16.4,27.7,4.9,1013.0,79.4,No
18.0,38.6,4.6,999.6,62.8,Yes
13.2,86.9,12.0,1016.8,94.4,Yes
17.4,31.7,17.2,1014.3,80.3,No
30.3,38.1,11.9,1011.6,40.0,No
8.4,63.9,30.5,1009.3,95.1,Yes
32.8,37.2,9.8,1005.7,52.5,No
33.7,33.1,3.4,1017.1,2.3,No
19.2,65.1,16.6,1003.8,26.0,No
12.6,49.4,30.9,1015.6,62.2,No
26.0,70.1,34.0,1026.5,15.7,No
11.6,93.0,29.3,1022.4,58.4,Yes
18.9,32.1,22.3,1001.5,36.2,No
36.8,93.1,29.0,1008.2,53.4,Yes
37.9,92.2,27.3,1015.0,0.2,No
31.2,86.3,9.4,1011.5,84.8,Yes
17.3,70.5,22.0,1002.2,36.2,No
28.6,69.6,30.8,1014.7,14.0,No
29.2,71.1,12.7,1011.9,43.8,No
19.6,75.2,26.2,1025.4,48.6,Yes
27.2,21.3,19.3,1010.2,63.7,No
8.3,96.6,20.1,1020.2,52.5,Yes
14.3,66.8,3.6,1003.1,4.4,No
23.8,82.5,26.6,1004.8,87.2,Yes
12.9,50.2,34.6,1017.1,45.7,No
13.0,21.0,5.7,1019.6,7.7,No
33.1,60.8,14.6,1005.3,77.3,Yes
37.7,60.6,1.9,1012.2,66.0,Yes
24.7,55.0,1.2,1002.3,64.9,Yes
33.2,47.2,39.6,1010.7,42.7,Yes
37.7,40.0,19.7,1017.9,41.0,No
12.2,62.2,14.2,1009.0,53.6,Yes
21.4,50.0,11.0,1010.3,5.1,No
19.8,97.6,39.2,1004.1,29.9,Yes
10.4,33.8,10.1,1007.5,98.8,Yes
30.7,45.6,29.0,1024.3,66.2,No
21.0,43.5,11.4,1012.5,41.9,No
22.1,63.5,2.8,1005.0,22.2,No
12.5,59.9,27.3,1009.8,74.5,Yes
13.4,71.5,0.1,1000.8,26.0,Yes
35.2,96.0,27.0,1004.9,16.2,Yes
9.3,42.8,10.0,1021.5,15.5,No
15.0,75.4,29.8,1011.0,72.9,Yes
16.8,22.0,30.8,1025.2,64.3,No
22.7,41.0,29.0,1011.3,7.0,No
25.6,57.1,1.0,1011.7,11.5,No
22.8,22.5,28.1,1016.5,63.4,No
10.5,69.4,39.6,993.3,57.1,Yes
15.3,74.3,9.7,1013.4,68.6,Yes
33.3,79.7,11.0,1011.7,17.8,No
27.1,61.3,32.5,1022.4,72.7,No
27.5,68.3,6.4,1018.8,93.6,Yes
28.1,51.7,26.4,1004.1,60.1,Yes
,23.3,30.2,1020.7,19.6,No
9.7,28.0,1.5,1010.2,68.0,Yes
19.0,72.4,22.2,1005.7,34.3,Yes
24.2,99.6,23.0,1013.4,4.9,Yes
18.2,21.3,12.1,1010.6,30.2,No
33.3,64.6,35.1,1022.8,90.6,Yes
22.5,80.1,6.5,1014.4,41.1,Yes
31.1,86.1,14.6,1013.4,86.5,Yes
33.6,63.6,33.9,1018.3,50.9,No
23.1,69.6,7.6,1019.7,51.7,Yes
35.3,75.7,32.9,1017.5,0.5,No
25.6,88.7,3.2,1021.9,63.7,Yes
33.5,29.8,19.6,1016.3,10.8,No
18.2,94.1,3.0,1013.2,47.9,Yes
23.0,,27.1,1020.7,26.0,No
23.9,86.9,31.6,1011.4,39.2,Yes
11.1,26.1,34.0,1012.2,53.7,No
20.0,35.6,39.3,1024.1,1.4,No
