age,tenure_months,monthly_charges,total_spent,support_calls,late_payments,churn
50.0,37,593.0,20039.0,3,0,No
43.0,1,1892.0,1822.0,0,2,Yes
34.0,12,339.0,3518.0,0,1,No
38.0,32,1237.0,34725.0,2,1,No
48.0,22,1083.0,24479.0,1,0,No
40.0,3,1654.0,5247.0,0,0,Yes
64.0,21,1566.0,30174.0,2,1,Yes
29.0,40,860.0,35590.0,1,1,No
62.0,45,577.0,26227.0,5,1,No
66.0,45,1649.0,72529.0,4,0,No
44.0,17,1961.0,30747.0,4,0,Yes
27.0,40,465.0,20391.0,1,0,No
42.0,20,1545.0,28181.0,2,1,Yes
65.0,39,1176.0,41377.0,1,1,No
45.0,1,829.0,727.0,1,0,Yes
50.0,25,324.0,8219.0,3,1,No
38.0,19,1530.0,31259.0,3,0,Yes
48.0,40,523.0,18484.0,1,0,No
33.0,17,1745.0,25990.0,1,1,Yes
31.0,18,749.0,14508.0,2,0,Yes
26.0,33,1306.0,43750.0,1,1,No
54.0,39,782.0,33312.0,1,0,No
65.0,24,1493.0,36820.0,4,0,No
36.0,53,498.0,27527.0,2,3,No
21.0,58,882.0,49388.0,1,0,No
38.0,36,1164.0,38115.0,3,2,Yes
35.0,33,1294.0,42373.0,2,0,No
50.0,31,1284.0,37398.0,3,0,No
26.0,5,434.0,2099.0,0,2,Yes
58.0,25,356.0,8712.0,2,1,No
21.0,48,702.0,28865.0,0,1,No
37.0,41,363.0,14915.0,0,1,No
26.0,4,674.0,2533.0,1,1,Yes
63.0,9,400.0,3791.0,1,1,No
41.0,50,1195.0,51628.0,2,0,No
65.0,44,477.0,20758.0,2,1,No
47.0,24,1005.0,22673.0,0,0,No
57.0,56,1607.0,78592.0,2,0,No
64.0,4,1612.0,6148.0,2,0,Yes
60.0,45,1255.0,53782.0,0,1,No
53.0,58,351.0,21138.0,2,1,No
59.0,26,1211.0,27960.0,1,1,No
59.0,30,729.0,23130.0,1,2,No
52.0,13,1265.0,14175.0,1,3,Yes
46.0,51,1843.0,92012.0,2,1,Yes
44.0,43,1317.0,57325.0,0,3,No
28.0,25,1898.0,40503.0,0,1,No
47.0,14,654.0,7941.0,0,3,No
62.0,28,755.0,19414.0,2,1,No
62.0,27,552.0,14090.0,1,1,No
42.0,22,432.0,8902.0,0,1,No
43.0,50,317.0,17321.0,2,0,No
58.0,22,1876.0,36804.0,3,2,Yes
68.0,7,1067.0,8012.0,0,1,Yes
18.0,47,1895.0,96737.0,1,0,No
54.0,44,1768.0,69538.0,2,0,Yes
,2,1564.0,3252.0,1,0,Yes
29.0,42,1859.0,85850.0,0,2,No
35.0,29,748.0,19782.0,0,1,No
69.0,40,1755.0,68493.0,0,2,No
33.0,16,1455.0,24204.0,2,1,Yes
44.0,11,1318.0,,0,0,No
53.0,33,1351.0,47182.0,0,0,No
31.0,4,,6893.0,1,1,Yes
60.0,13,1878.0,21488.0,2,1,Yes
21.0,3,600.0,1834.0,1,0,Yes
62.0,21,436.0,8560.0,1,1,No
54.0,54,762.0,41622.0,0,1,No
59.0,32,1676.0,51935.0,2,1,No
22.0,44,464.0,19694.0,1,1,No
60.0,44,1424.0,67066.0,1,0,No
32.0,8,978.0,7903.0,2,0,Yes
61.0,56,1850.0,104235.0,2,0,No
36.0,10,1693.0,18500.0,1,1,Yes
54.0,15,1162.0,15991.0,3,0,No
69.0,39,946.0,37710.0,2,0,No
57.0,29,1718.0,46777.0,2,1,No
22.0,13,714.0,9279.0,0,1,No
29.0,21,1223.0,27077.0,3,0,No
24.0,25,1883.0,50874.0,1,0,Yes
67.0,36,1325.0,45638.0,2,2,No
34.0,47,1880.0,93487.0,2,1,No
44.0,22,1050.0,21570.0,2,1,No
48.0,24,1369.0,33357.0,1,2,No
31.0,6,1898.0,12178.0,1,3,Yes
37.0,57,1552.0,90353.0,2,1,No
41.0,37,1839.0,69842.0,2,1,No
18.0,16,1713.0,29036.0,2,4,Yes
60.0,3,431.0,1181.0,1,1,No
65.0,57,738.0,43611.0,0,0,No
54.0,3,1560.0,4724.0,1,1,Yes
40.0,11,1812.0,19662.0,2,1,Yes
25.0,53,1663.0,96404.0,1,1,No
35.0,20,831.0,15841.0,1,1,No
40.0,52,1355.0,64028.0,1,1,No
28.0,33,1423.0,49768.0,2,1,No
57.0,34,1042.0,31753.0,0,0,No
41.0,55,1298.0,73983.0,1,3,No
54.0,2,1975.0,4274.0,5,0,Yes
44.0,21,1225.0,27150.0,0,1,No
27.0,21,629.0,13318.0,4,2,Yes
51.0,44,1156.0,54973.0,4,2,No
,21,598.0,12209.0,2,0,No
40.0,52,1469.0,66375.0,3,2,No
53.0,43,1832.0,81433.0,0,0,No
69.0,54,1448.0,80476.0,2,0,No
30.0,48,1791.0,91671.0,1,1,No
64.0,45,1536.0,65769.0,1,0,No
33.0,21,1043.0,19412.0,2,1,No
20.0,43,1214.0,45712.0,0,1,No
39.0,25,1204.0,28184.0,1,0,Yes
60.0,21,966.0,21265.0,2,3,No
53.0,14,457.0,6272.0,1,1,No
35.0,53,1492.0,70584.0,1,0,No
67.0,43,379.0,14838.0,2,0,No
69.0,3,646.0,1816.0,6,0,Yes
69.0,21,1071.0,21818.0,2,2,No
,35,1977.0,73337.0,1,1,No
53.0,42,821.0,37864.0,3,2,No
45.0,19,1650.0,31344.0,1,1,Yes
39.0,42,1012.0,40264.0,0,1,No
45.0,17,676.0,10295.0,3,2,No
21.0,10,344.0,3363.0,1,0,No
26.0,6,449.0,2703.0,2,2,Yes
48.0,53,1007.0,49728.0,2,1,No
39.0,39,979.0,35546.0,0,2,No
43.0,49,1364.0,70654.0,0,0,No
65.0,32,405.0,13154.0,4,0,No
52.0,35,782.0,26345.0,3,2,No
21.0,18,339.0,6037.0,1,0,No
68.0,6,1781.0,10432.0,1,1,Yes
62.0,43,975.0,37464.0,0,1,No
26.0,10,1292.0,13793.0,2,0,Yes
62.0,52,1507.0,68392.0,2,0,No
37.0,6,755.0,4092.0,1,0,No
37.0,58,528.0,30331.0,2,1,No
47.0,28,1285.0,34731.0,1,2,No
65.0,17,1835.0,31159.0,2,2,Yes
36.0,16,1816.0,31378.0,4,0,Yes
47.0,40,823.0,30336.0,1,3,No
27.0,50,751.0,33332.0,2,0,No
22.0,29,900.0,22976.0,2,0,No
49.0,26,716.0,16098.0,2,2,No
30.0,52,1939.0,105636.0,2,0,No
20.0,27,358.0,9322.0,1,0,No
18.0,20,624.0,11406.0,3,0,Yes
37.0,55,,19438.0,1,0,No
30.0,48,1751.0,87775.0,1,0,No
68.0,35,1101.0,41783.0,2,0,No
42.0,1,687.0,653.0,1,2,Yes
42.0,23,971.0,22832.0,1,1,No
26.0,58,479.0,25494.0,3,2,No
23.0,59,482.0,30325.0,1,1,No
33.0,40,1909.0,82253.0,1,0,No
61.0,28,1482.0,41810.0,2,0,No
50.0,51,1385.0,71676.0,1,0,No
27.0,35,1103.0,39180.0,0,0,No
19.0,4,1132.0,4518.0,2,1,Yes
31.0,23,1611.0,35560.0,0,1,No
32.0,20,388.0,8032.0,1,0,No
68.0,40,1434.0,62761.0,0,1,No
26.0,13,1235.0,16640.0,0,2,No
58.0,46,820.0,34981.0,0,1,No
38.0,15,666.0,9741.0,1,1,Yes
34.0,38,1764.0,66983.0,1,0,No
28.0,18,1883.0,29507.0,2,0,Yes
51.0,15,462.0,6743.0,3,1,No
53.0,42,588.0,21624.0,1,0,No
43.0,56,1433.0,78453.0,0,0,No
67.0,48,1615.0,67578.0,5,1,No
64.0,31,1134.0,33057.0,3,3,Yes
59.0,54,1875.0,110223.0,3,2,Yes
47.0,49,1783.0,74425.0,0,1,No
45.0,55,514.0,25968.0,1,2,No
52.0,1,541.0,510.0,0,1,Yes
48.0,48,445.0,21307.0,1,0,No
25.0,31,1787.0,60458.0,1,1,No
52.0,42,1247.0,52894.0,4,2,No
30.0,56,1899.0,114154.0,1,0,No
56.0,31,1539.0,42492.0,4,0,No
19.0,41,1543.0,58338.0,4,1,No
20.0,58,512.0,31827.0,1,0,No
48.0,7,485.0,2890.0,2,1,Yes
58.0,44,1882.0,79781.0,1,2,Yes
47.0,42,1119.0,45269.0,3,0,No
26.0,12,,25934.0,0,0,Yes
34.0,1,848.0,816.0,0,0,No
41.0,38,1355.0,55433.0,2,0,No
30.0,22,1273.0,27903.0,0,0,No
68.0,19,415.0,7294.0,0,0,No
41.0,14,1181.0,14667.0,3,1,Yes
64.0,33,1870.0,60016.0,2,1,No
23.0,15,1071.0,13726.0,1,1,No
42.0,5,1102.0,5145.0,2,0,No
62.0,3,1490.0,4384.0,1,1,No
32.0,16,1626.0,25745.0,2,3,Yes
61.0,37,1707.0,60695.0,2,3,Yes
57.0,32,1067.0,37251.0,2,1,No
48.0,44,1054.0,41138.0,3,1,No
20.0,36,1104.0,43693.0,0,0,No
64.0,18,1946.0,35828.0,2,0,Yes
42.0,55,1879.0,109158.0,0,1,No
49.0,35,1358.0,47938.0,1,1,No
53.0,37,782.0,26149.0,1,0,No
43.0,30,1830.0,56968.0,2,1,Yes
26.0,25,590.0,15665.0,1,2,No
49.0,59,480.0,29396.0,1,0,No
49.0,23,1004.0,24673.0,3,0,No
22.0,48,1464.0,60847.0,4,1,Yes
28.0,5,388.0,2116.0,1,0,No
29.0,56,831.0,50482.0,0,0,No
36.0,45,1632.0,,5,2,No
47.0,49,1420.0,70231.0,1,0,No
49.0,19,443.0,8936.0,0,0,No
23.0,39,642.0,25069.0,2,0,No
62.0,45,1532.0,67082.0,1,1,No
60.0,5,497.0,2691.0,2,2,Yes
22.0,39,315.0,11080.0,2,0,No
26.0,51,1987.0,107710.0,1,2,No
61.0,51,1343.0,65763.0,2,0,No
39.0,45,1028.0,42697.0,2,0,No
41.0,53,1314.0,68009.0,1,1,No
43.0,17,1438.0,24674.0,1,0,No
69.0,41,1141.0,41901.0,2,1,No
26.0,16,1418.0,23545.0,4,1,Yes
66.0,51,1504.0,72766.0,1,0,No
30.0,31,604.0,19209.0,1,3,No
64.0,49,1019.0,44403.0,3,1,No
43.0,17,817.0,12000.0,2,0,Yes
57.0,19,1654.0,27981.0,1,0,No
23.0,58,1608.0,83484.0,0,3,No
36.0,54,1677.0,94215.0,3,0,No
27.0,12,1043.0,12180.0,2,0,Yes
47.0,23,1277.0,30575.0,1,2,No
19.0,10,1499.0,15541.0,0,0,Yes
37.0,38,847.0,29332.0,5,1,Yes
44.0,3,1961.0,6340.0,1,0,Yes
42.0,2,943.0,1966.0,0,2,Yes
60.0,33,1212.0,34850.0,1,2,No
49.0,53,1705.0,89740.0,3,1,Yes
60.0,44,1569.0,65804.0,0,1,No
44.0,42,1152.0,46684.0,4,2,Yes
36.0,35,993.0,32732.0,1,1,No
33.0,11,1382.0,14808.0,5,0,Yes
53.0,13,1040.0,12694.0,2,0,Yes
65.0,37,1305.0,46629.0,0,1,No
69.0,55,1659.0,89984.0,2,1,No
30.0,3,506.0,1568.0,0,0,No
40.0,23,1484.0,30305.0,1,0,No
50.0,12,391.0,4145.0,0,1,No
65.0,9,1547.0,13568.0,3,3,Yes
34.0,21,655.0,13325.0,1,1,No
58.0,12,1138.0,13533.0,3,1,Yes
61.0,15,753.0,11333.0,1,3,Yes
27.0,26,846.0,20204.0,2,1,No
34.0,44,1368.0,60910.0,1,0,No
41.0,33,1032.0,33168.0,1,0,No
62.0,33,1128.0,36255.0,3,2,No
66.0,36,1997.0,71782.0,1,0,No
26.0,14,506.0,7105.0,0,3,No
26.0,5,952.0,4780.0,1,1,Yes
37.0,2,1200.0,2538.0,1,0,Yes
20.0,52,1682.0,85266.0,1,0,No
44.0,52,779.0,43962.0,1,1,No
31.0,20,969.0,21058.0,1,1,No
38.0,47,,74394.0,0,0,No
18.0,16,1201.0,20567.0,2,1,Yes
30.0,18,1754.0,30159.0,1,1,No
24.0,41,408.0,18293.0,1,1,No
29.0,55,787.0,46828.0,1,2,No
40.0,37,1247.0,44288.0,2,1,Yes
30.0,57,506.0,27035.0,1,2,No
57.0,59,1118.0,67381.0,0,1,No
41.0,2,329.0,620.0,0,1,No
29.0,25,1157.0,29362.0,2,1,No
50.0,28,1864.0,49861.0,1,0,No
62.0,11,1911.0,20505.0,2,2,Yes
43.0,13,841.0,10328.0,1,3,Yes
69.0,58,305.0,18560.0,3,1,No
36.0,11,1850.0,20357.0,1,2,Yes
42.0,29,1263.0,37389.0,3,0,Yes
40.0,29,,39354.0,2,1,No
69.0,40,1685.0,70707.0,0,0,No
55.0,33,,31221.0,2,0,No
48.0,3,1013.0,2776.0,0,1,No
36.0,27,1747.0,44379.0,2,0,Yes
21.0,20,1135.0,22428.0,0,2,Yes
64.0,8,1550.0,11280.0,0,0,No
23.0,59,1838.0,113344.0,2,1,No
55.0,32,968.0,28106.0,1,1,No
44.0,57,1810.0,96340.0,2,2,No
54.0,55,856.0,47465.0,3,0,No
65.0,59,1879.0,113569.0,2,0,No
28.0,14,818.0,10864.0,2,0,Yes
23.0,49,697.0,35482.0,3,1,No
37.0,3,1524.0,4917.0,0,0,Yes
47.0,30,1866.0,49884.0,1,0,No
21.0,52,1605.0,90051.0,2,0,No
,34,1557.0,52118.0,0,1,No
49.0,12,1953.0,22550.0,1,0,No
69.0,5,1247.0,6540.0,3,0,Yes
32.0,28,1808.0,52954.0,1,0,No
65.0,47,362.0,17365.0,0,0,No
37.0,55,524.0,27440.0,1,0,No
23.0,45,761.0,31396.0,2,0,No
,27,1907.0,48404.0,2,0,No
21.0,42,634.0,26450.0,1,1,Yes
55.0,47,950.0,44248.0,3,2,No
28.0,23,359.0,8926.0,2,0,No
52.0,16,432.0,6664.0,1,1,No
32.0,16,1290.0,20984.0,1,0,No
22.0,44,465.0,20767.0,2,1,No
63.0,48,1828.0,90633.0,1,0,No
36.0,12,1805.0,23780.0,1,4,Yes
51.0,58,1357.0,82681.0,3,0,No
20.0,2,973.0,1673.0,1,0,No
66.0,25,1808.0,47591.0,0,1,Yes
50.0,29,1128.0,35982.0,2,0,No
39.0,4,623.0,2142.0,2,0,Yes
64.0,43,887.0,38114.0,5,1,Yes
39.0,54,916.0,49457.0,0,0,No
35.0,15,1285.0,18913.0,4,1,Yes
32.0,41,981.0,42989.0,1,1,No
51.0,57,1690.0,101491.0,2,0,No
40.0,40,1364.0,48723.0,1,0,No
47.0,27,728.0,17214.0,1,0,No
59.0,56,983.0,49083.0,0,0,No
52.0,24,1529.0,39326.0,1,1,Yes
54.0,40,711.0,24874.0,1,0,No
49.0,46,455.0,21172.0,1,0,No
59.0,37,1508.0,56958.0,2,1,Yes
55.0,19,990.0,17014.0,2,0,No
61.0,42,510.0,19437.0,5,2,Yes
50.0,19,1114.0,22413.0,2,0,No
18.0,29,1252.0,34675.0,2,1,Yes
65.0,33,343.0,11035.0,1,1,No
30.0,17,1644.0,26531.0,1,0,Yes
55.0,46,1135.0,46770.0,1,1,No
52.0,15,342.0,4924.0,1,0,No
52.0,10,1764.0,16182.0,2,2,Yes
41.0,43,1294.0,51471.0,2,1,No
41.0,52,1937.0,90695.0,2,1,No
24.0,15,777.0,11732.0,2,0,No
30.0,31,1000.0,28573.0,2,0,No
21.0,55,1426.0,69914.0,3,1,Yes
65.0,22,1853.0,42890.0,2,1,Yes
67.0,24,1644.0,39218.0,2,2,No
23.0,42,1392.0,62248.0,1,1,No
62.0,38,1651.0,65584.0,1,1,No
,8,460.0,3470.0,0,0,No
34.0,3,1530.0,4546.0,2,1,Yes
26.0,22,1283.0,30957.0,1,0,No
51.0,27,765.0,19405.0,1,0,No
19.0,37,705.0,23734.0,3,3,No
25.0,24,789.0,16868.0,2,2,Yes
23.0,8,508.0,4409.0,0,2,No
25.0,45,,31368.0,0,1,No
18.0,26,420.0,11814.0,1,0,No
35.0,4,1443.0,5760.0,3,2,Yes
59.0,36,1170.0,42016.0,1,1,No
32.0,24,516.0,11765.0,1,1,No
30.0,32,1484.0,45066.0,0,0,No
68.0,51,602.0,28559.0,1,1,No
43.0,12,1140.0,14123.0,2,1,Yes
19.0,40,1863.0,77105.0,1,2,Yes
48.0,7,1593.0,10959.0,1,0,Yes
46.0,46,1292.0,57187.0,3,3,No
40.0,22,1293.0,28699.0,3,1,Yes
62.0,46,408.0,18258.0,0,0,No
53.0,3,1025.0,3247.0,2,0,Yes
19.0,40,821.0,28449.0,3,2,No
37.0,15,1106.0,17845.0,0,1,No
46.0,24,1916.0,45116.0,2,0,No
52.0,14,1636.0,22384.0,2,1,Yes
37.0,24,1336.0,30388.0,1,1,Yes
41.0,47,1497.0,69168.0,0,0,No
29.0,4,1541.0,5579.0,3,1,Yes
49.0,36,1075.0,37707.0,4,2,No
30.0,12,1772.0,20191.0,0,1,No
43.0,24,1348.0,29877.0,1,1,Yes
60.0,33,1554.0,46310.0,2,0,No
65.0,6,318.0,2032.0,2,2,Yes
42.0,53,1213.0,68310.0,0,2,No
28.0,41,918.0,36557.0,1,2,No
20.0,37,393.0,13201.0,0,0,No
61.0,55,1397.0,73961.0,1,3,No
39.0,23,1878.0,46710.0,1,0,Yes
27.0,9,1545.0,14529.0,0,1,Yes
60.0,50,435.0,22879.0,1,0,No
43.0,38,395.0,15396.0,3,1,No
53.0,27,886.0,24664.0,0,1,No
,6,705.0,3754.0,3,1,Yes
67.0,16,346.0,5186.0,2,2,No
34.0,35,367.0,13590.0,2,0,No
58.0,5,886.0,3962.0,0,1,Yes
33.0,33,526.0,15080.0,1,2,No
26.0,49,630.0,32772.0,2,0,No
39.0,27,1777.0,50147.0,0,0,Yes
21.0,37,1988.0,65430.0,1,1,Yes
,13,1667.0,21282.0,2,1,Yes
42.0,35,695.0,20930.0,2,1,No
22.0,11,598.0,5836.0,1,1,Yes
41.0,43,1282.0,50403.0,2,0,No
47.0,32,1632.0,53582.0,1,0,No
46.0,900,1417.0,47249.0,1,0,No
21.0,19,1665.0,33300.0,0,0,Yes
52.0,21,1127.0,20256.0,2,2,No
35.0,39,1978.0,65654.0,1,1,No
31.0,37,1637.0,56023.0,4,0,Yes
62.0,41,386.0,16344.0,1,0,No
69.0,9,918.0,8988.0,1,1,Yes
23.0,12,1250.0,13933.0,5,0,Yes
43.0,18,680.0,12108.0,1,0,No
31.0,23,985.0,19491.0,1,1,No
55.0,32,1369.0,37251.0,0,0,No
49.0,31,1238.0,32772.0,2,1,No
39.0,5,1763.0,7707.0,3,1,Yes
56.0,3,745.0,2388.0,1,2,Yes
53.0,49,1865.0,,2,3,No
66.0,35,847.0,31856.0,1,0,No
69.0,3,1864.0,5920.0,1,3,Yes
39.0,51,721.0,38289.0,2,1,No
25.0,22,1162.0,23990.0,2,0,Yes
65.0,40,,66581.0,2,2,Yes
40.0,27,771.0,18232.0,0,0,No
64.0,12,1742.0,17899.0,1,0,Yes
54.0,41,1151.0,42210.0,0,1,No
45.0,22,1013.0,19050.0,3,2,Yes
62.0,10,1427.0,14583.0,2,1,Yes
57.0,14,637.0,8447.0,5,0,No
51.0,49,1419.0,68282.0,1,1,No
44.0,31,599.0,18007.0,0,0,No
30.0,26,1507.0,36081.0,1,1,No
28.0,47,1337.0,55212.0,2,1,No
51.0,15,537.0,7939.0,1,1,No
38.0,9,470.0,4509.0,1,0,No
50.0,6,1332.0,8291.0,4,0,Yes
55.0,7,506.0,3836.0,1,0,No
20.0,55,1362.0,70340.0,2,0,No
22.0,54,1997.0,114462.0,2,0,No
49.0,24,508.0,12566.0,2,1,No
68.0,28,1104.0,33563.0,0,0,No
45.0,23,1870.0,39653.0,2,1,No
53.0,33,1892.0,65614.0,2,1,Yes
33.0,11,350.0,3762.0,2,2,Yes
29.0,39,1673.0,62584.0,1,2,No
30.0,30,705.0,20440.0,1,0,No
66.0,54,1568.0,81128.0,2,0,No
57.0,19,903.0,18345.0,1,1,No
36.0,45,681.0,33284.0,3,1,No
21.0,10,1099.0,11163.0,0,0,No
62.0,6,598.0,3223.0,1,0,No
32.0,45,1020.0,43840.0,3,1,Yes
30.0,53,970.0,48269.0,0,0,No
54.0,53,1936.0,104429.0,1,2,No
24.0,4,1221.0,4237.0,1,2,Yes
28.0,21,1484.0,31586.0,1,1,No
44.0,28,596.0,16132.0,3,1,No
24.0,17,1994.0,31026.0,0,0,Yes
65.0,18,1145.0,17846.0,1,0,No
69.0,23,427.0,8478.0,1,1,No
61.0,2,1335.0,2865.0,2,1,Yes
47.0,55,840.0,45931.0,1,0,No
46.0,18,799.0,14208.0,1,0,No
31.0,35,838.0,25059.0,1,0,No
25.0,47,1065.0,52195.0,2,0,No
26.0,10,787.0,7104.0,1,0,No
25.0,13,1623.0,19957.0,1,2,Yes
18.0,38,603.0,,1,0,No
56.0,59,540.0,28153.0,0,3,No
56.0,24,477.0,12011.0,3,0,No
55.0,54,997.0,57005.0,1,0,No
36.0,2,491.0,962.0,3,0,Yes
23.0,44,342.0,14165.0,2,2,No
28.0,58,799.0,42309.0,2,2,No
60.0,45,1965.0,91165.0,4,1,No
64.0,7,318.0,2082.0,2,2,No
20.0,1,408.0,429.0,0,0,No
54.0,25,1290.0,33318.0,0,1,No
64.0,33,1145.0,35451.0,1,1,No
60.0,39,476.0,16842.0,1,0,No
